"name","alt.name","venue"
"","HSC Bulls Academy 99B (HI) (SC)","Far West Regionals U18"
"","Rangers 99 Premier (UT) (SC)","Far West Regionals U18"
"","Real Colorado National (CO) (SC)","Far West Regionals U18"
"","ALPINE STRIKERS FC 00B RED","FWRL CAN At Large U19"
"","MUSTANG SC 00/99B ELITE","FWRL CAN At Large U19"
"","WALNUT CREEK '99/00B BLUE","FWRL CAN At Large U19"
"","ALPINE STRIKERS FC 00B RED","FWRL CAN Premier U19"
"","CALIFORNIA ODYSSEY SC 99BR NPL2 (SANTESTEBAN)","FWRL CAN Premier U19"
"","ECFC PUMAS 99B","FWRL CAN Premier U19"
"","MUSTANG SC 00/99B ELITE","FWRL CAN Premier U19"
"","NORTHERN CALIFORNIA RUSH SOCCER NORCAL RUSH 99 BOYS","FWRL CAN Premier U19"
"","WALNUT CREEK '99/00B BLUE","FWRL CAN Premier U19"
"","DMCV Sharks B2000/1999 Elite - Burson","FWRL CAS B99"
"","SOLTILO FC - B1999","FWRL CAS B99"
"","SERENO 99 BOYS WALSH","FWRL Desert 1999/1998 U19"
"3 Rivers Black B01","3RSC B01 BLACK","Les Schwab NW Cup Boys High School"
"3 Rivers Black B99","THREE RIVERS B99/00 BLACK (WA)","Nike Crossfire Challenge Super Group U19"
"3 Rivers Black B99","3RSC B99/00 RCL Black","RCL B99 Div 1"
"3 Rivers Green B99","Three Rivers Soccer Club 3RSC HS Boys PSPL","PSPL Classic - East U19"
"4-H Penarol B00","U18 Penarol Boys","Sounders FC Cup BU18-19"
"4-H Penarol B00","HILLSBORO U18 PEÑAROL","Clash At the Border Super Gold/Silver"
"Academia de Futebol ADF B00","ADF PORTLAND 00B","Clash At the Border Super Gold/Silver"
"Academia de Futebol ADF B00","ADF 00B (OR)","Oswego Nike Cup Super Group Gold U19"
"Academia Leon B00","ACADEMIA LEON FC 00 (OR)","Oswego Nike Cup Super Group Gold U19"
"Alternativo Futbol Boca Juniors B01","ALTERNATIVO FUTBOL BOCA JUNIORS 01","Clash At the Border Super Gold/Silver"
"Arizona Arsenal Premier Teal B99","AZ Arsenal 99 Premier Teal (AZ) (SC)","Far West Regionals U18"
"ASE Emerald B00","ASE B00 EMERALD (WA)","Oswego Nike Cup Super Group Gold U19"
"ASE Royal B99","ASE BHS ROYAL - Kincaid","PSPL Classic - East U19"
"BCT Lions B99","BCT Lions","Sounders FC Cup BU18-19"
"Bellevue United Select B00","BUFC B00 Vaughn","NPSL DIVISION 2 (00/99) U19"
