"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Seattle United Copa B99",2253,199.02,118.92,31,"WA","Seattle","RCL B99 Div 1",""
"WPFC Black B99",2238,162.73,130.76,35,"WA","Tacoma","RCL B99 Div 1",""
"Three Rivers Hagedorn B99",2226,87.42,224.26,14,"WA","Pasco","",""
"FC Portland Navy B99",2193,144.76,107.58,8,"OR","Portland","",""
"Crossfire Premier A B99",2155,121.33,99.04,38,"WA","Redmond","RCL B99 Div 1",""
"Washington East SC B99",2146,146.48,77.14,32,"WA","Spokane","PSPL WNPL U19",""
"Wenatchee Valley United Aguilitas B99",2145,147.69,75.88,23,"WA","Wenatchee","PSPL WNPL U19","WA Cup Gold U19"
"Eastside FC Red B99",2141,87.56,124.68,40,"WA","Preston","RCL B99 Div 1",""
"WPFC White B99",2127,96.5,102.19,36,"WA","Tacoma","RCL B99 Div 1",""
"Portland Spartans FC Academy B99",2126,99.06,98.92,17,"OR","Portland","",""
"Washington Timbers Red 1 B99",2124,151.98,63.5,9,"WA","Vancouver","RCL B99 Div 1",""
"Crossfire Oregon Green I B99",2121,108.39,87.25,10,"OR","Lake Oswego","",""
"Whatcom Rangers Gold B99",2116,141.84,64.41,32,"WA","Bellingham","RCL B99 Div 2",""
"PacNW Maroon B99",2093,154.25,50.75,30,"WA","Tukwila","RCL B99 Div 1",""
"3 Rivers Black B99",2081,111.97,64.07,22,"WA","Pasco","RCL B99 Div 1",""
"Central WA SA Navy B99",2064,110.96,57.65,29,"WA","Yakima","PSPL WNPL U19",""
"Lake Hills Synergy B99",2033,99.94,51.64,29,"WA","Bellevue","RCL B99 Div 2",""
"CSC Storm Navy B99",2031,86.05,59,24,"OR","Corvallis","",""
"PCU Red B99",2031,69.45,72.91,35,"OR","Portland","",""
"Capital FC Timbers Red B99",2025,106.37,45.88,22,"OR","Salem","",""
"Santos FC Cruzeiro B99",2020,93.13,50.55,21,"OR","Hubbard","",""
"Westside Timbers Copa B99",2017,99.29,46.33,27,"OR","Beaverton","",""
"North Idaho Inferno B99",2012,64.63,69.07,21,"ID","Post Falls","",""
"PacNW Blue B99",2012,100.14,44.38,40,"WA","Tukwila","RCL B99 Div 2",""
"LASC Cuervos B99",2012,71.01,62.5,22,"OR","NE Portland","PTT B00 BHS",""
"Highline Premier Heat Blue B99",2007,76.57,56.06,22,"WA","Burien","PSPL WNPL U19",""
"Crossfire Select Taylor B99",1992,57.05,68.13,26,"WA","Redmond","NPSL DIVISION 1 (99) U19",""
"RSA Elite B99",1987,89.14,42.08,28,"WA","Puyallup","PSPL WSPL U19","WA Cup Gold U19"
"MPC Timbers B99",1985,72.93,50.61,10,"OR","","",""
"Tynecastle FC B99",1983,85.83,42.34,24,"WA","Everett","PSPL WNPL U19","WA Cup Gold U19"
"3 Rivers Green B99",1982,66.23,54.74,10,"WA","Pasco","PSPL Classic - East U19",""
"Gala FC A B99",1981,87.35,41,29,"WA","Marysville","PSPL WNPL U19","WA Cup Gold U19"
"MRFC Blue B99",1980,104.86,34.1,36,"WA","Sumner","PSPL WSPL U19","WA Cup Gold U19"
"Spokane Sounders A B99",1978,78.44,44.7,18,"WA","Spokane","RCL B99 Div 1",""
"Seattle United S Blue B99",1971,69.68,48.1,23,"WA","Seattle","NPSL DIVISION 1 (99) U19",""
"GS Surf A B99",1967,60.87,53.47,25,"WA","Bothel","RCL B99 Div 1",""
"Eastside Timbers Red B99",1949,76.98,37.28,29,"OR","Gresham","",""
"WPFC Navy B99",1940,77.23,35.11,23,"WA","Tacoma","RCL B99 Div 3",""
"FPSC Fury Black B99",1940,75.91,35.7,27,"WA","Tacoma","PSPL WNPL U19","WA Cup Gold U19"
"FC Edmonds Forza B99",1930,67.2,37.61,26,"WA","Edmonds","PSPL Classic - West U19","WA Cup Silver U19"
"BIFC Blue B99",1929,74.53,33.7,25,"WA","Bainbridge Island","NPSL DIVISION 1 (99) U19",""
"Eastside FC White B99",1926,57.41,42.84,30,"WA","Preston","RCL B99 Div 2",""
"GS Surf B B99",1926,67.16,36.6,29,"WA","Bothel","RCL B99 Div 2",""
"Walla Walla United B99",1922,88.59,27,10,"WA","Walla Walla","PSPL Classic - East U19",""
"Seattle United Shoreline Blue B99",1917,61.87,37.2,19,"WA","Shoreline","NPSL DIVISION 1 (99) U19",""
"Idaho Rush Premier B99",1915,68.36,33.26,22,"ID","Boise","",""
"ISC Gunners A B99",1903,51.39,40.71,20,"WA","Issaquah","PSPL WSPL U19",""
"NK United B99",1899,61.24,33.12,30,"WA","Poulsbo","PSPL Classic - West U19","WA Cup Silver U19"
"Emerald City FC Green B99",1898,55.36,36.45,22,"WA","Seattle","PSPL WSPL U19","WA Cup Gold U19"
"Harbor Premier Green B99",1887,41.85,44.7,27,"WA","Gig Harbor","RCL B99 Div 3",""
"Crossfire Premier B B99",1886,67.7,27.42,24,"WA","Redmond","RCL B99 Div 2",""
"Spokane Sounders B B99",1883,64.78,28.11,23,"WA","Spokane","RCL B99 Div 3",""
"Blackhills FC Black B99",1878,59.47,29.55,28,"WA","Olympia","RCL B99 Div 2",""
"PacNW White B99",1878,57.41,30.6,30,"WA","Tukwila","RCL B99 Div 3",""
"Norpoint FC B99",1878,63.69,27.57,11,"WA","Tacoma","NPSL DIVISION 1 (99) U19",""
"Washington Timbers Red 2 B99",1877,59.79,29.26,23,"WA","Vancouver","RCL B99 Div 3",""
"Snohomish United Black B99",1874,37.21,45.99,26,"WA","Snohomish","RCL B99 Div 2",""
"SGESC Fusion B99",1868,62.36,26.32,23,"WA","Graham","PSPL Classic - West U19","WA Cup Silver U19"
"Crossfire Select Leviten B99",1865,53.59,29.92,15,"WA","Redmond","NPSL DIVISION 1 (99) U19",""
"Pacific FC Revolution B99",1855,56.94,26.25,34,"WA","Battle Ground","PSPL Classic - West U19","WA Cup Silver U19"
"Wenatchee Valley United B99",1849,74.65,19.25,16,"WA","Wenatchee","PSPL Classic - East U19",""
"Capital FC Timbers Black B99",1847,73.5,19.29,16,"OR","Salem","",""
"South Whidbey Wild B99",1843,52.92,26.02,14,"WA","Clinton","NPSL DIVISION 2 (00/99) U19",""
"Edmond Premier Titans B99",1819,59.99,19.43,10,"WA","Centralia","PSPL Classic - West U19",""
"Storm King B99",1812,44.05,25.34,16,"WA","Port Angeles","NPSL DIVISION 2 (00/99) U19",""
"Mukilteo Rush Irish Lions B99",1804,41.97,25.01,20,"WA","Mukilteo","NPSL DIVISION 1 (99) U19",""
"NSC Thunder Green B99",1781,44.92,19.92,17,"WA","Woodinvile","NPSL DIVISION 2 (00/99) U19",""
"Whatcom Rangers Blue B99",1777,35.01,24.92,15,"WA","Bellingham","RCL B99 Div 3",""
"Nortac Sparta Red B99",1765,26.2,30.74,22,"WA","Tacoma","PSPL Classic - West U19","WA Cup Silver U19"
"Breakers Red B99",1760,58.97,13.2,13,"WA","Spokane","PSPL Copa - East U18-19","WA Cup Silver U19"
"Crossfire Oregon Green II B99",1757,37.56,20.2,23,"OR","Lake Oswego","",""
"Kent United Green B99",1749,33.61,21.44,25,"WA","Kent","NPSL DIVISION 1 (99) U19",""
"Vashon Riptide B99",1739,49.15,13.62,9,"WA","Vashon Island","NPSL DIVISION 2 (00/99) U19",""
"Shoreline Sportsverrou B99",1734,37.35,17.41,16,"WA","Shoreline","PSPL Classic - West U19",""
"Eastside Timbers Black B99",1708,22.15,24.38,22,"OR","Gresham","",""
"TBSC Arsenal FC B99",1704,41.38,12.72,8,"WA","Mountlake Terrace","NPSL DIVISION 2 (00/99) U19",""
"IEYSA Storm Black B99",1698,29.16,17.28,17,"WA","Cheney","PSPL WSPL U19",""
"FC Spokane Babinski B99",1697,31.73,15.79,17,"WA","Spokane","PSPL Classic - East U19",""
"Roosevelt HS B99",1687,26.87,17.44,10,"WA","Seattle","",""
"FPSC Strikers B99",1681,30.76,14.58,11,"WA","Tacoma","PSPL Classic - West U19",""
"FPSC Fury Black B B99",1674,22.75,18.77,15,"WA","Tacoma","PSPL WSPL U19","WA Cup Gold U19"
"Blackhills FC Red B99",1648,28.73,12.39,21,"WA","Olympia","NPSL DIVISION 2 (00/99) U19",""
"Bend FC Timbers Green B99",1633,26.81,11.99,13,"OR","Bend","",""
"IEYSA Valor Black B99",1627,25.49,12.09,16,"WA","Cheney","PSPL Classic - East U19",""
"ASE Royal B99",1604,23.82,11.02,10,"WA","Pasco","PSPL Classic - East U19",""
"Tracyton Force B99",1600,23.19,11.02,15,"WA","Tracyton","NPSL DIVISION 2 (00/99) U19",""
"IEYSA Valor Maroon B99",1572,28.37,7.41,13,"WA","Spokane","PSPL Copa - East U18-19",""
"ISC Gunners B B99",1532,11.2,14.23,21,"WA","Issaquah","PSPL Classic - West U19","WA Cup Silver U19"
"FME Xtreme B99",1404,10.34,6.35,11,"WA","Milton","NPSL DIVISION 2 (00/99) U19",""
"IEYSA Storm B B99",1352,7.85,5.83,10,"WA","Cheney","PSPL Copa - East U18-19",""
