"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2017-06-02,"Highline Premier Heat Blue B99",0,"ISC Gunners A B99",1,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-02,"Eastside FC Red B99",0,"Washington East SC B99",1,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-02,"Portland Spartans FC Academy B99",3,"Crossfire Premier B B99",0,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-02,"Whatcom Rangers Gold B99",1,"Crossfire Premier A B99",2,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-02,"WPFC White B99",2,"CSC Storm Navy B99",0,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-03,"CSC Storm Navy B99",2,"Crossfire Premier B B99",0,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-03,"ISC Gunners A B99",0,"Crossfire Premier A B99",4,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-03,"Whatcom Rangers Gold B99",0,"WPFC White B99",3,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-03,"CSC Storm Navy B99",1,"Eastside FC Red B99",5,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-03,"Washington East SC B99",1,"Crossfire Premier B B99",0,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-03,"Highline Premier Heat Blue B99",0,"Crossfire Premier A B99",1,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-03,"WPFC White B99",1,"Portland Spartans FC Academy B99",0,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-03,"Whatcom Rangers Gold B99",3,"ISC Gunners A B99",1,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-04,"Crossfire Premier B B99",1,"Highline Premier Heat Blue B99",6,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-04,"Portland Spartans FC Academy B99",1,"Eastside FC Red B99",1,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-04,"ISC Gunners A B99",1,"CSC Storm Navy B99",4,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-04,"Washington East SC B99",0,"Crossfire Premier A B99",0,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-04,"Portland Spartans FC Academy B99",3,"Whatcom Rangers Gold B99",1,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-04,"Eastside FC Red B99",0,"WPFC White B99",1,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-04,"Washington East SC B99",0,"Highline Premier Heat Blue B99",1,"Showcase of Champions U18/19 BOYS","neutral","neutral","Grass"
2017-06-16,"NW United Black B00",1,"PSA Force Black B00",1,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-16,"FWFC Blue B00",1,"Seattle United S Black B00",1,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-16,"SGESC Fusion B00",2,"ISC Gunners B B99",0,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-16,"Three Rivers Hagedorn B99",3,"Highline Premier Heat Blue B00",2,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-17,"Snohomish United Black B99",1,"BIFC Blue B99",3,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-17,"Snohomish United Red B00",1,"BIFC Blue B99",2,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-17,"Snohomish United Black B99",0,"NW United Black B00",1,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-17,"PSA Force Black B00",1,"Snohomish United Red B00",2,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-17,"FWFC Blue B00",4,"ISC Gunners B B99",0,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-17,"Fraser Valley Selects B00",1,"Three Rivers Hagedorn B99",2,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-17,"Highline Premier Heat Blue B00",2,"Kitsap Alliance FC Red B00",0,"Starfire Spring Classic BU18-19","neutral","neutral","Unk"
2017-06-17,"Seattle United S Black B00",4,"SGESC Fusion B00",0,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-17,"Fraser Valley Selects B00",2,"Highline Premier Heat Blue B00",0,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-17,"SGESC Fusion B00",0,"FWFC Blue B00",2,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-17,"Kitsap Alliance FC Red B00",0,"Three Rivers Hagedorn B99",2,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-17,"ISC Gunners B B99",0,"Seattle United S Black B00",4,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-18,"BIFC Blue B99",4,"PSA Force Black B00",0,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-18,"Snohomish United Red B00",0,"Snohomish United Black B99",3,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-18,"BIFC Blue B99",0,"NW United Black B00",1,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-18,"BIFC Blue B99",1,"NW United Black B00",2,"Skagit Firecracker Div. 1 U18-19","neutral","neutral","Grass"
2017-06-18,"Kitsap Alliance FC Red B00",0,"Fraser Valley Selects B00",3,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-18,"Three Rivers Hagedorn B99",1,"Seattle United S Black B00",0,"Starfire Spring Classic BU18-19","neutral","neutral","Turf"
2017-06-23,"LASC Cuervos B99",0,"Alternativo Futbol Boca Juniors B01",1,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-23,"Washington East SC B99",4,"4-H Penarol B00",0,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-23,"CSC Storm Navy B99",3,"Gala FC A B99",2,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-23,"RVSC Timbers Black B00",1,"Academia de Futebol ADF B00",1,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-23,"FC Salmon Creek Juventus B00",2,"Gala FC B00",0,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-23,"PCU Red B00",1,"FC Portland White B00",0,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-23,"Roseville YSC Union FC B00",1,"Eastside Timbers Red B99",0,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-23,"Blackhills FC Red B99",0,"Washington East SC B00",3,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-23,"Pacific FC Revolution B99",1,"Washington Timbers Red 2 B99",3,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-23,"PCU Red B99",1,"Fuerza FC Academy B00",0,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-23,"PCFC B99",0,"NK United B99",4,"Clash At the Border Bronze","neutral","neutral","Grass"
2017-06-23,"Pacific FC Blue-United B00",2,"PCFC B99",0,"Clash At the Border Bronze","neutral","neutral","Grass"
2017-06-23,"MPC Timbers B99",2,"CCB Inter B99",1,"Clash At the Border Bronze","neutral","neutral","Grass"
2017-06-23,"GS Surf B B99",2,"Snohomish United Red B00",0,"Snohomish United Invit Gold","neutral","neutral","Grass"
2017-06-24,"Whatcom Rangers Blue B99",0,"Squamish United B00",2,"Baker Blast U19","neutral","neutral","Grass"
2017-06-24,"MRFC Blue B99",3,"European Football School B00",0,"Baker Blast U19","neutral","neutral","Grass"
2017-06-24,"Cascade FC Green B00",1,"Whitecaps FC Academy B00",5,"Baker Blast U19","neutral","neutral","Grass"
2017-06-24,"Crossfire Select Taylor B99",1,"SGU B00",2,"Baker Blast U19","neutral","neutral","Grass"
2017-06-24,"SGU B00",3,"Cascade FC Green B00",0,"Baker Blast U19","neutral","neutral","Grass"
2017-06-24,"Whitecaps FC Academy B00",0,"Crossfire Select Taylor B99",1,"Baker Blast U19","neutral","neutral","Grass"
2017-06-24,"European Football School B00",1,"Whatcom Rangers Blue B99",0,"Baker Blast U19","neutral","neutral","Grass"
2017-06-24,"Squamish United B00",1,"MRFC Blue B99",2,"Baker Blast U19","neutral","neutral","Grass"
2017-06-24,"Washington East SC B99",2,"Alternativo Futbol Boca Juniors B01",1,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"CSC Storm Navy B99",3,"4-H Penarol B00",0,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"LASC Cuervos B99",0,"Gala FC A B99",1,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"LASC Cuervos B99",0,"Washington East SC B99",4,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Alternativo Futbol Boca Juniors B01",0,"CSC Storm Navy B99",2,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"4-H Penarol B00",0,"Gala FC A B99",2,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"RVSC Timbers Black B00",1,"FC Salmon Creek Juventus B00",1,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Gala FC B00",2,"Academia de Futebol ADF B00",4,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"FC Salmon Creek Juventus B00",0,"Academia de Futebol ADF B00",2,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"RVSC Timbers Black B00",0,"Gala FC B00",1,"Clash At the Border Super Gold/Silver","neutral","neutral","Grass"
2017-06-24,"PCU Red B00",2,"Eastside Timbers Red B99",2,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Blackhills FC Red B99",0,"FC Portland White B00",2,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Roseville YSC Union FC B00",2,"Washington East SC B00",1,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Washington East SC B00",1,"PCU Red B00",2,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Eastside Timbers Red B99",5,"Blackhills FC Red B99",1,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"FC Portland White B00",1,"Roseville YSC Union FC B00",3,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Pacific FC Revolution B99",2,"PCU Red B99",2,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Fuerza FC Academy B00",3,"Washington Timbers Red 2 B99",3,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"PCU Red B99",0,"Washington Timbers Red 2 B99",1,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"Pacific FC Revolution B99",0,"Fuerza FC Academy B00",3,"Clash At the Border Gold/Silver","neutral","neutral","Grass"
2017-06-24,"MPC Timbers B99",1,"Pacific FC Blue-United B00",1,"Clash At the Border Bronze","neutral","neutral","Grass"
2017-06-24,"NK United B99",1,"CCB Inter B99",0,"Clash At the Border Bronze","neutral","neutral","Grass"
2017-06-24,"CCB Inter B99",5,"PCFC B99",2,"Clash At the Border Bronze","neutral","neutral","Grass"
2017-06-24,"Pacific FC Blue-United B00",0,"NK United B99",1,"Clash At the Border Bronze","neutral","neutral","Grass"
2017-06-24,"PCFC B99",1,"MPC Timbers B99",6,"Clash At the Border Bronze","neutral","neutral","Grass"
2017-06-24,"Fusion FC B99",2,"Harbor Premier Green B99",2,"RVS Classic BU17-19","neutral","neutral","Turf"
2017-06-24,"Fusion FC B00",1,"Harbor Premier Green B00",2,"RVS Classic BU17-19","neutral","neutral","Turf"
2017-06-24,"FC Edmonds Riptide B01",0,"MVP Rapids Navy B01",2,"RVS Classic BU17-19","neutral","neutral","Turf"
