"name","alt.name","venue"
"","Inferno Brown G02","PSPL WNPL U16"
"AC Samoa G02","AC Samoa 02","Portland Winter Showcase U16"
"AC United Freedom G02","AC UNITED FREEDOM (CAN)","Bend Premier Cup Meghan Cox (Silver) Division U16"
"Alaska Eclipse G02","Alaska Eclipse 02 Girls","Labor Day Cup GU16"
"Aloha United SC Thorns G03","ALOHA UNITED THORNS","Summer Slam U15/U16 Gold/Silver"
"ASE Emerald G02","ASE G02 Cox","PSPL Classic 2 U16"
"ASE Emerald G02","ASE G02 EMERALD (WA)","Bigfoot GU16/17 U16"
"BDMS Dynamite G02","BDMS DYANMITE (CND)","SX Cup Girls U16 Metro - Tier 2 U16"
"Bend FC Timbers Black G02","BEND FC TIMBERS 02 GIRLS (USA)","Bend Premier Cup Meghan Cox (Silver) Division U16"
"Bend FC Timbers Black G02","Bend FC Timbers 02G Bilanski","PTT Winter G02 Premier"
"Bend FC Timbers Red G02","Bend FC Timbers 02G RED Wilson","PTT Winter G02 Division 1 White"
"Bend FC Timbers Red G03","BEND FC TIMBERS 03G RED (USA)","Bend Premier Cup Meghan Klingenberg (Silver) Division U16"
"BIFC Black G02","Bainbridge Island FC G02 Black","Skagit Firecracker Div. 3 U16"
"BIFC Blue G02","BIFC G02 BLUE (WA)","Bend Premier Cup Meghan Cox (Silver) Division U16"
"BIFC Blue G02","Bainbridge Island FC G02 Blue","NPSL Division 2 (02) U16"
"Blackhills FC Black G02","BLACKHILLS FC G 02 BLACK A","Clash At the Border Super"
"Blackhills FC Black G02","BLACKHILLS FC G 02 BLACK A","WA Rush Cup GU16 Gold"
"Blackhills FC Black G02","BLACKHILLS FC G 02 BLACK A (WA)","Nike Crossfire Challenge Gold Group U16"
"Blackhills FC Black G02","Blackhills FC G02 Black A","RCL G02 Div 1"
"Blackhills FC Red G02","66 Blackhills G02 Red","Rimland Challenge U16"
