"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname"
"Crossfire OR Blue I G02",1501,13.09,9.83,12,"OR","Tigard","","PTT Win G02 Div 1 White"
"Washington Timbers White 1 G02",1478,10.02,10.93,9,"WA","Vancouver","","PTT Win G02 Div 1 White"
"NEU White G02",1477,12.69,8.58,9,"OR","Portland","","PTT Win G02 Premier"
"MRFC Blue G02",1470,10.55,9.87,14,"WA","Bonney Lake","PSPL WSPL U16",""
"Cheney Storm FC G02",1463,15.45,6.39,12,"WA","Cheney","PSPL WSPL U16",""
"Kent United Green G02",1459,10.56,9.14,19,"WA","Kent","",""
"GS Surf B G02",1455,11.04,8.47,11,"WA","Bothel","",""
"Mukilteo Rush G02",1452,11.36,8.09,15,"WA","Mukilteo","NPSL Div 2 (02) U16",""
"Crossfire Select Reimbold G02",1449,10.96,8.2,13,"WA","Redmond","NPSL Div 1 (02) U16",""
"Eastside FC Blue G02",1428,7.72,10.04,19,"WA","Preston","",""
"Seattle United Shoreline Blue G02",1412,9.18,7.57,16,"WA","Seattle","NPSL Div 1 (02) U16",""
"PacNW White G02",1405,9.21,7.2,10,"WA","Tukwila","",""
"LSDSC Ladybugs G02",1395,12.34,5.01,11,"WA","","NPSL Div 2 (02) U16",""
"Spokane Sounders B G02",1394,8.04,7.63,15,"WA","Spokane","",""
"Crossfire Select Miller G02",1384,11.03,5.2,18,"WA","Redmond","NPSL Div 1 (02) U16",""
"Cascade Rush Revolution G02",1378,8.99,6.12,21,"OR","","",""
"MIFC Thunder G02",1376,13.08,4.14,11,"WA","Mercer Island","NPSL Div 1 (02) U16",""
"MRFC White G02",1371,8.7,6.04,15,"WA","Bonney Lake","PSPL Classic 2 U16",""
"Spokane Scotties Klein G02",1369,12.4,4.17,8,"WA","Spokane","PSPL Classic 1 U16",""
"NK Fury G02",1352,5.63,8.13,15,"WA","Poulsbo","NPSL Div 1 (02) U16",""
"HSC Galaxy G02",1324,6.49,5.83,14,"OR","Hillsboro","","PTT Win G02 Div 1 White"
"ASE Emerald G02",1324,9.95,3.79,8,"WA","Pasco","PSPL Classic 2 U16",""
"ETFC Force Red G02",1319,4.52,8.07,11,"OR","Eugene","","PTT Win G02 Div 1 Red"
"Thelo Fury G02",1318,6.39,5.66,11,"OR","Milwaukie","","PTT Win G02 Div 1 White"
"PSA Force G02",1304,8.04,4.1,14,"WA","Marysville","NPSL Div 1 (02) U16",""
"Dragons FC G02",1300,5.5,5.82,13,"WA","Seattle","PSPL Classic 1 U16",""
"ISC Gunners B Blue G02",1297,7.28,4.31,15,"WA","Issaquah","PSPL Classic 2 U16",""
"Mukilteo Rush Nero G02",1281,5.27,5.34,12,"WA","Mukilteo","NPSL Div 2 (02) U16",""
"Oregon Trails FC Fusion G02",1260,4.99,4.84,16,"OR","","","PTT Win G02 Div 1 White"
"Westside Timbers Samba TS G02",1258,3.21,7.44,14,"OR","Beaverton","","PTT Win G02 Div 1 Red"
"Irish FC Gators G02",1256,6.36,3.7,9,"WA","","NPSL Div 2 (02) U16",""
"Harbor Premier White G02",1252,3.92,5.84,8,"WA","Gig Harbor","",""
"NSC White Adrenaline G02",1249,5.38,4.19,11,"WA","Woodinvile","NPSL Div 2 (02) U16",""
"Three Rivers SC Green G02",1245,8.55,2.56,8,"WA","Pasco","",""
"Seattle United S Blue G02",1245,5.43,4.01,12,"WA","Seattle","NPSL Div 2 (02) U16",""
"Whatcom FC Rangers Blue G02",1242,8.08,2.65,17,"WA","Bellingham","",""
"Blackhills FC Red G02",1234,4.77,4.24,14,"WA","Olympia","",""
"RSA Elite Giove G02",1231,7.1,2.8,10,"WA","Puyallup","PSPL Classic 1 U16",""
"West Narrows FC Blue G02",1200,7.76,2.06,8,"WA","Gig Harbor","PSPL Classic 2 U16",""
"THUSC Rapids G02",1181,4.2,3.33,11,"OR","Tualatin Hills","","PTT Win G02 Div 1 White"
"Fuerza FC Academy G02",1177,4.58,2.98,8,"WA","Marysville","PSPL Classic 2 U16",""
"TC United White G02",1176,4.33,3.13,10,"WA","Lacey","PSPL Classic 2 U16",""
"Seattle United NE Blue G02",1176,3.43,3.94,15,"WA","Seattle","NPSL Div 2 (02) U16",""
"Eastside Timbers Black G02",1167,3.91,3.25,14,"OR","Gresham","","PTT Win G02 Div 1 White"
"MVP Marauders White G02",1163,3.36,3.68,15,"WA","Maple Valley","PSPL Classic 2 U16",""
"NW United Red G02",1119,3.2,2.86,10,"WA","Burlington","",""
"GS Surf C G02",1109,2.83,3.01,8,"WA","Bothel","",""
"Newport FC G02",1101,3.6,2.24,9,"WA","Bellevue","NPSL Div 2 (02) U16",""
"ISC Gunners B White G02",1098,4.78,1.65,10,"WA","Issaquah","PSPL Classic 2 U16",""
"NPSA Titans White G02",1090,3.12,2.4,10,"WA","Bellevue","PSPL Classic 2 U16",""
"Snohomish United Red G02",1080,1.69,4.12,13,"WA","Snohomish","",""
"Cascade FC Green G02",1050,2.11,2.67,11,"WA","Snoqualmie","PSPL Classic 2 U16",""
"North Mason Cascadia FC G02",1006,1.95,2.14,10,"WA","","",""
"BIFC Blue G02",963,1.34,2.31,10,"WA","Bainbridge","NPSL Div 2 (02) U16",""
