"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","spr.league .colname"
"Blackhills FC Black G02",1906,55.74,38.24,20,"WA","Olympia","",""
"Eastside FC Red G02",1901,38.28,53.95,11,"WA","Preston","",""
"WA Rush G02",1887,72.33,25.85,20,"WA","Everett","",""
"PacNW Maroon G02",1866,59.45,27.23,10,"WA","Tukwila","",""
"Crossfire Premier A G02",1853,26.5,55.87,21,"WA","Redmond","",""
"Seattle United Copa G02",1848,44.42,32.06,11,"WA","Seattle","",""
"Washington Timbers Red 1 G02",1840,41.76,32.33,19,"WA","Vancouver","","PTT Win G01 Premier"
"Eastside Timbers Red G02",1766,39.11,20.75,13,"OR","Gresham","","PTT Win G02 Premier"
"Seattle United Tango G02",1763,23.23,34.21,19,"WA","Seattle","",""
"Wenatchee FC Black G02",1747,26.49,26.72,12,"WA","Wenatchee","PSPL WSPL U16",""
"WPFC Black G02",1739,30.73,21.85,21,"WA","Tacoma","",""
"PacNW Blue G02",1726,20.98,29.18,15,"WA","Tukwila","",""
"Three Rivers SC Black G02",1706,20.04,26.62,11,"WA","Pasco","",""
"ETFC Force Black G02",1703,20.46,25.57,9,"OR","Eugene","","PTT Win G02 Premier"
"FPSC Fury Black G02",1697,25.79,19.49,17,"WA","Tacoma","PSPL WSPL U16",""
"RV Slammers Orange G02",1683,26.25,17.35,20,"WA","Auburn","",""
"Whatcom FC Rangers Gold G02",1683,21.5,21.13,23,"WA","Bellingham","",""
"NSC Green Velocity G02",1666,15.6,26,18,"WA","Woodinvile","NPSL Div 1 (02) U16",""
"Highline Premier Blue G02",1649,22.43,16.07,16,"WA","Burien","PSPL WNPL U16",""
"WA East G02",1649,36.84,9.77,9,"WA","Spokane","PSPL WNPL U16",""
"Harbor Premier Green G02",1644,24.57,14.13,18,"WA","Gig Harbor","",""
"FC Portland Navy G02",1627,23.02,13.43,18,"OR","Portland","","PTT Win G02 Premier"
"Snohomish United Black G02",1626,16.63,18.4,11,"WA","Snohomish","",""
"TC United Navy G02",1613,16.11,17.42,14,"WA","Lacey","PSPL WSPL U16",""
"Westside Timbers Copa TS G02",1612,11.92,23.39,17,"OR","Beaverton","","PTT Win G02 Premier"
"WA Rush Nero G02",1610,17.82,15.35,18,"WA","Everett","",""
"Washington Timbers Red 2 G02",1599,17.14,14.79,18,"WA","Vancouver","","PTT Win G02 Div 1 Red"
"NW United Black G02",1593,11.4,21.35,22,"WA","Burlington","",""
"FWFC Blue G02",1579,15.71,14.05,17,"WA","Federal Way","",""
"MVP Marauders Navy G02",1568,18.12,11.33,14,"WA","Maple Valley","PSPL WNPL U16",""
"NPSA Titans Navy G02",1566,21.51,9.39,10,"WA","Bellevue","PSPL WSPL U16",""
"Breakers Black Andersson G02",1552,13.59,13.53,12,"WA","Spokane","PSPL WNPL U16",""
"NC Alliance FC G02",1549,13.31,13.46,19,"WA","","PSPL Classic 1 U16",""
"Kitsap Alliance Red G02",1544,14.73,11.78,20,"WA","Silverdale","",""
"FC Edmonds Black Ice G02",1534,9.78,16.55,24,"WA","Edmonds","PSPL Classic 1 U16",""
"ISC Gunners A G02",1517,8.57,16.77,17,"WA","Issaquah","PSPL WNPL U16",""
"Eastside FC White G02",1506,10.94,12.18,20,"WA","Preston","",""
