"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Central WA SA Navy B02",2131,109.92,92.54,29,"WA","Yakima","PSPL WNPL U16","WA Cup Gold U16"
"Westside Timbers Copa Red B02",2077,105.41,66.33,37,"OR","Beaverton","",""
"GS Surf A B02",2074,72.04,94.78,33,"WA","Bothel","RCL B02 Div 1",""
"WPFC Black B02",2073,109.38,62.21,37,"WA","Tacoma","RCL B02 Div 1",""
"Seattle United Copa B02",2072,89.94,75.07,24,"WA","Seattle","RCL B02 Div 1",""
"Spokane Sounders A B02",2053,88.2,67.29,28,"WA","Spokane","RCL B02 Div 1",""
"Crossfire Premier A B02",2033,65.94,78.1,35,"WA","Redmond","RCL B02 Div 1",""
"Eastside Timbers Red B02",2024,95.67,50.44,26,"OR","Gresham","",""
"PacNW Maroon B02",1997,96.74,41.56,39,"WA","Tukwila","RCL B02 Div 1",""
"Boise Nationals Timbers Blue B02",1984,62.12,59.19,19,"ID","Boise","",""
"Eastside FC Red B02",1965,80.25,39.93,30,"WA","Preston","RCL B02 Div 2",""
"PSPL Academy B02",1944,70.75,39.28,9,"WA","statewide","",""
"Eclipse FC B02",1938,62.36,42.67,37,"WA","","PSPL WNPL U16","WA Cup Gold U16"
"Capital FC Timbers Red B02",1933,78.76,32.74,20,"OR","Salem","",""
"Crossfire Premier B B02",1912,42.67,52.04,37,"WA","Redmond","RCL B02 Div 2, RCL B02 7V2",""
"Westside Timbers Copa White B02",1907,51.17,42.01,35,"OR","Beaverton","",""
"Washington East SC A B02",1903,66.22,31.62,25,"WA","Spokane","PSPL WNPL U16",""
"Southside SC Azul B02",1893,40.72,48.07,31,"OR","Tigard","",""
"PacNW Blue B02",1892,61.95,31.17,36,"WA","Tukwila","RCL B02 Div 2",""
"FWFC Blue B02",1885,56.37,32.65,34,"WA","Federal Way","RCL B02 Div 3",""
"Wenatchee Valley United Fire B02",1884,67.46,27.14,8,"WA","Wenatchee","",""
"Seattle United Tango B02",1868,40.98,40.12,32,"WA","Seattle","RCL B02 Div 1, RCL B02 7V2",""
"Snohomish United Black B02",1862,54.45,28.93,29,"WA","Snohomish","RCL B02 Div 2",""
"STU Chelsea Academy B02",1862,56.34,27.88,23,"WA","Tacoma","RCL B02 Div 3",""
"WPFC White B02",1850,63.79,22.75,37,"WA","Tacoma","RCL B02 Div 4, RCL B02 7V2",""
"LASC Cuervos B02",1847,36.97,38.4,27,"OR","NE Portland","",""
"Crossfire Select OMelia B02",1843,39.73,34.77,30,"WA","Redmond","RCL B02 Div 4",""
"Spokane Sounders B B02",1838,41.36,32.19,32,"WA","Spokane","RCL B02 Div 4",""
"GS Surf B B02",1835,51.6,25.24,27,"WA","Bothel","RCL B02 Div 1",""
"Seattle United W Blue B02",1832,44.23,28.99,19,"WA","Seattle","NPSL DIVISION 1 (02) U16, NPSL DIVISION 2 (02) U16",""
"Southlake Select TUSK United B02",1822,27.86,42.67,40,"WA","Tukwila","NPSL DIVISION 1 (02) U16",""
"NSC Vortex Green B02",1816,37.29,30.7,35,"WA","Woodinvile","NPSL DIVISION 1 (02) U16",""
"Washington Timbers Red 1 B02",1799,51.1,19.84,44,"WA","Vancouver","RCL B02 Div 3",""
"Seattle United Shoreline Blue B02",1783,30.59,29.82,28,"WA","Shoreline","NPSL DIVISION 1 (02) U16",""
"TC United Navy B02",1781,45.43,19.81,26,"WA","Lacey","PSPL WSPL U16","WA Cup Gold U16"
"FC Portland Navy B02",1778,29.48,29.84,23,"OR","Portland","",""
"Seattle United Samba B02",1775,30.42,28.23,38,"WA","Seattle","RCL B02 Div 3",""
"Tynecastle FC B02",1772,42.42,19.84,25,"WA","Everett","PSPL WNPL U16","WA Cup Gold U16"
"Fuerza FC Academy B02",1772,34.96,24.07,24,"WA","Marysville","PSPL Copa - West U16","WA Cup Bronze U16"
"Crossfire Yakima B B02",1768,33.95,24.1,24,"WA","Yakima","RCL B02 Div 3",""
"Seattle Celtic Green B02",1767,36.25,22.46,29,"WA","Seattle","PSPL WNPL U16",""
"WA Rush Select B02",1761,26.88,29.04,8,"WA","Everett","",""
"Blackhills FC Black B02",1760,38.75,20.05,35,"WA","Olympia","RCL B02 Div 3",""
"GPS Oregon B02",1756,37.45,20.1,37,"OR","","PSPL WNPL U16",""
"Crossfire Select Luna B02",1751,29.09,25.11,32,"WA","Redmond","NPSL DIVISION 1 (02) U16",""
"Eastside FC White B02",1737,25.63,25.89,38,"WA","Preston","RCL B02 Div 2",""
"Crossfire Oregon Green I B02",1735,23.73,27.51,31,"OR","Lake Oswego","",""
"ETFC Dortmund Black B02",1729,32.02,19.56,30,"OR","Eugene","",""
"3 Rivers Black B02",1721,30.58,19.41,25,"WA","Pasco","RCL B02 Div 2",""
"HSC Bayern B02",1714,34.88,16.16,16,"OR","Hillsboro","",""
"Slammers Orange B02",1712,32.61,17.1,33,"WA","Auburn","RCL B02 Div 3, RCL B02 7V2",""
"Toluca Portland SC Elite B02",1709,36.01,15.15,15,"OR","","PTT B00 BHS",""
"Westside Timbers Samba B02",1706,33.04,16.13,28,"OR","Beaverton","",""
"Kitsap Alliance FC Red B02",1700,23.81,21.45,15,"WA","Silverdale","RCL B02 Div 5",""
"WA Rush B02",1697,30.19,16.55,38,"WA","Everett","RCL B02 Div 2",""
"Kent United Green B02",1696,21.36,23.3,29,"WA","Kent","NPSL DIVISION 1 (02) U16",""
"Wenatchee Valley United Sounders B02",1692,32.92,14.72,23,"WA","Wenatchee","PSPL WSPL U16","WA Cup Silver U16"
"Whatcom Rangers Gold B02",1685,25.04,18.47,31,"WA","Bellingham","RCL B02 Div 2",""
"WPFC Navy B02",1685,22.96,20.1,35,"WA","Tacoma","RCL B02 Div 4",""
"Seattle United S Blue B02",1680,21.1,21.17,28,"WA","Seattle","NPSL DIVISION 1 (02) U16",""
"Eastside Timbers Black 1 B02",1669,22,18.77,36,"OR","Gresham","",""
"Mercer Island FC Heat B02",1660,22.4,17.29,20,"WA","Mercer Island","NPSL DIVISION 1 (02) U16",""
"Mukilteo Rush B02",1654,20.88,17.78,22,"WA","Mukilteo","NPSL DIVISION 1 (02) U16",""
"ISC Gunners A B02",1644,19.5,17.87,46,"WA","Issaquah","PSPL WNPL U16","WA Cup Gold U16"
"Crossfire Premier C B02",1642,23.45,14.56,46,"WA","Redmond","RCL B02 Div 4",""
"Harbor Premier Green B02",1641,27.77,12.22,27,"WA","Gig Harbor","RCL B02 Div 4",""
"FWFC White B02",1637,28.76,11.5,19,"WA","Federal Way","RCL B02 Div 5",""
"FC Bellevue Venom B02",1629,27.73,11.3,32,"WA","Bellevue","PSPL WSPL U16","WA Cup Silver U16"
"FPSC Fury Black B02",1625,17.91,16.95,22,"WA","Tacoma","PSPL WSPL U16","WA Cup Gold U16"
"Wenatchee Valley United Quincy B02",1615,31.74,8.94,18,"WA","Quincy","PSPL Copa - East U16",""
"Thelo Union B02",1613,23.92,11.74,9,"OR","Milwaukie","",""
"Seattle United NE Blue B02",1612,20.2,13.81,31,"WA","Seattle","NPSL DIVISION 1 (02) U16",""
"PacNW White B02",1600,24.14,10.63,33,"WA","Tukwila","RCL B02 Div 4",""
"BSC Portland Black B02",1595,24.52,10.08,8,"OR","Portland","",""
"MVP Rapids Navy B02",1588,19.89,11.86,25,"WA","Maple Valley","PSPL Classic U16","WA Cup Silver U16"
"Newport FC Barca B02",1586,23.12,10.08,33,"WA","Bellevue","NPSL DIVISION 1 (02) U16",""
"PCSC Cosmos B02",1585,19.87,11.64,36,"WA","Tacoma","PSPL Copa - West U16","WA Cup Bronze U16"
"Washington East SC B B02",1584,15.81,14.48,26,"WA","Spokane","PSPL WSPL U16","WA Cup Silver U16"
"GPS Newberg B02",1573,24,8.88,15,"OR","","",""
"NPSA Titans Navy B02",1567,19.6,10.42,28,"WA","Bellevue","PSPL WSPL U16","WA Cup Silver U16"
"WA Rush Nero B02",1566,23.71,8.56,34,"WA","Everett","RCL B02 Div 5",""
"Crossfire Select Toon B02",1557,13.74,13.82,27,"WA","Redmond","NPSL DIVISION 2 (02) U16",""
"GS Surf C B02",1551,16.32,11.17,34,"WA","Bothel","RCL B02 Div 3",""
"Academia Leon B02",1546,18.44,9.54,22,"OR","Beaverton","",""
"Wenatchee Valley United -Unk B02",1538,17.26,9.67,10,"WA","Wenatchee","PSPL Copa - East U16",""
"Pacific FC Fire B02",1532,12.32,12.99,37,"WA","Battle Ground","PSPL Classic U16","WA Cup Silver U16"
"Gala FC B02",1527,23.38,6.62,13,"WA","Marysville","PSPL Classic U16",""
"TFA Williamette Crew B02",1526,18.25,8.37,17,"OR","","",""
"Westside Timbers Mundial B02",1523,13.13,11.46,18,"OR","Beaverton","",""
"IFC Red B02",1520,11.54,12.75,21,"WA","Issaquah","NPSL DIVISION 2 (02) U16",""
"IEYSA Valor Maroon B02",1519,19.53,7.5,21,"WA","Spokane","PSPL Copa - East U16",""
"Southlake Select Red B02",1504,14.57,9.03,14,"WA","Newcastle","PSPL Copa - West U16",""
"Nortac Sparta Red B02",1504,16.01,8.2,20,"WA","Tacoma","PSPL Classic U16",""
"Pacific FC Dynamo B02",1494,14.52,8.44,29,"WA","Battle Ground","PTT B00 BHS",""
"Highline SA Blue Thunder B02",1491,8.78,13.73,12,"WA","","SSUL B02 Div 3",""
"Whatcom Rangers Blue B02",1483,12.08,9.44,26,"WA","Bellingham","RCL B02 Div 5",""
"Eastside FC Blue B02",1481,10.95,10.28,28,"WA","Preston","RCL B02 Div 4",""
"Storm King B02",1472,17.74,5.93,19,"WA","Port Angeles","NPSL DIVISION 2 (02) U16",""
"Emerald City FC Green B02",1468,16.27,6.3,30,"WA","Seattle","PSPL Classic U16","WA Cup Silver U16"
"NW United Black B02",1467,13.25,7.71,28,"WA","Burlington","RCL B02 Div 5",""
"Lake Hills Inferno B02",1467,12.88,7.9,26,"WA","Bellevue","NPSL DIVISION 3 (02) U16",""
"Seattle United S White B02",1466,11.21,8.99,22,"WA","Seattle","NPSL DIVISION 3 (02) U16",""
"Pacific FC Cheetahs B02",1451,15.88,5.73,14,"WA","Battle Ground","PSPL WSPL U16","WA Cup Silver U16"
"North Idaho Inferno Orange B02",1450,14.72,6.15,16,"ID","Post Falls","",""
"PCU Black B02",1447,12.12,7.31,15,"OR","Portland","",""
"PSA Force Black B02",1444,13.01,6.68,24,"WA","Marysville","NPSL DIVISION 2 (02) U16",""
"STU Evolution Truillo B02",1439,15.56,5.39,11,"WA","Tacoma","NPSL DIVISION 1 (02) U16, NPSL DIVISION 2 (02) U16",""
"3 Rivers White B02",1438,15.93,5.22,10,"WA","Pasco","PSPL Copa - East U16",""
"Capital FC Timbers Black B02",1437,8.83,9.39,18,"OR","Salem","",""
"Washington Timbers White 1 B02",1430,13.24,5.96,35,"WA","Vancouver","RCL B02 Div 4",""
"LSDSC Rockets B02",1429,11.15,7.03,18,"WA","","NPSL DIVISION 3 (02) U16",""
"Blackhills FC Red B02",1422,11.96,6.23,24,"WA","Olympia","RCL B02 Div 5",""
