"name","alt.name","venue"
"Abbotsford SA G99","Abbotsford SA","Labor Day Cup GU17-19"
"Alum Rock Barcelona G99","ALUM ROCK YSL AR BARCELONA","Clash At the Border Super Gold/Silver"
"ASE Emerald G00","ASE G00 Emerald - Shea","PSPL WNPL U19"
"AYSO Cowgils G99","AYSO Cowgirls","Mt Hood Challenge U19 Bronze"
"Bend FC Timbers Red G99","BEND FC TIMBERS 99G (USA)","Bend Premier Cup Haley Raso (U18/U19) Division U19"
"Bend FC Timbers Red G99","Bend FC Timbers 99G","PTT Winter G99 Premier"
"BIFC Blue G99","BAINBRIDGE ISLAND FC BIFC GU99 BLUE (WA)","Bend Premier Cup Mana Shim (U18/19) Division U19"
"BIFC Blue G99","Bainbridge Island FC Blue G99","Skagit Firecracker Div. 1 U18-19"
"BIFC Blue G99","Bainbridge Island FC G99 Blue","Crossfire Select U19 Gold"
"BIFC Blue G99","Bainbridge Island FC G99 Blue","NPSL Division 1 (99) U19"
"Blackhills FC Black G01","72 Blackhills G01 Black","Rimland Challenge U17-19"
"Blackhills FC Black G99","74 Blackhills G99 Black","Rimland Challenge U17-19"
"Blackhills FC Black G99","BLACKHILLS FC G 99/00 BLACK A","Clash At the Border Super Gold/Silver"
"Blackhills FC Black G99","BLACKHILLS FC G 99/00 BLACK A (WA)","Nike Crossfire Challenge Gold Group U19"
"Blackhills FC Black G99","Blackhills FC G99 Black A","RCL G99 Div 3"
"Blackhills FC Black G99","Blackhills FC G99 Black","Portland Winter Showcase U19"
"Blaze -Unk G00","Blaze","PacNW Winter Classic 1999-2000 Girls Showcase Premier 2"
"Boise Nationals Timbers Blue G99","Boise Nationals-Timbers","Portland Winter Showcase U19"
"Breakers -Unk G00","Spokane Breakers FC","PacNW Winter Classic 1999-2000 Girls Showcase Premier 2"
"Breakers Black Croft G00","Breakers FC '00","US Club Regionals G99"
"Breakers Black Croft G00","IEYSA G00 Breakers FC Black Croft","PSPL WSPL 1 U19"
"Breakers Black Wilson G99","BREAKERS WILSON, AARON (WA)","Nike Crossfire Challenge Silver Group U19"
"Breakers Black Wilson G99","IEYSA G99 Breakers FC A. Wilson","PSPL WSPL 2 U19"
"Breakers Black Wilson G99","Breakers FC G99/00","US Club Regionals G99"
"BSC Hood River Dynamos G99","Hood River Dynamos 99G","PTT Winter G99 Division 1"
"Capital FC Timbers Red G00","CFT U18 Girls","Beaverton Cup U19 Gold"
"Capital FC Timbers Red G00","Capital FC Timbers 00G A. Anaya","PTT Winter G99 Premier"
"Capital FC Timbers Red G01","CFC 01G Red Anaya","Mt Hood Challenge U19 Premier"
"Cascade Rush Elites G99","CASCADE RUSH ELITES (OR)","Bend Premier Cup Mana Shim (U18/19) Division U19"
"Cheney Storm FC G00","Storm FC G00","US Club Regionals G99"
"Cheney Storm FC G00","IEYSA G00 Storm FC Futbol","PSPL WNPL U19"
"Colorado Storm Select G99","CO Storm 00-99G Select","PacNW Winter Classic 1999-2000 Girls Showcase Premier 2"
"Crossfire OR Blue I G01","Crossfire Oregon 01G Blue 1","Mt Hood Challenge U19 Premier"
"Crossfire OR Blue I G99","CROSSFIRE OREGON SKIPPER (OR)","Nike Crossfire Challenge Silver Group U19"
"Crossfire OR Blue I G99","CROSSFIRE OREGON SKIPPER (OR)","Oswego Nike Cup Super Group Gold/Silver U19"
"Crossfire OR Blue I G99","Crossfire Oregon 99/00G Skipper","Mt Hood Challenge U19 Silver"
"Crossfire OR Blue I G99","Crossfire Oregon 99G Blue 1","PTT Winter G99 Premier"
"Crossfire OR Blue I G99","Crossfire OR Skipper","Portland Winter Showcase U19"
"Crossfire OR CUSC Black Eruption G01","CUSC 01G Eruption","Mt Hood Challenge U19 Bronze"
"Crossfire OR CUSC Red Power Rays G01","CUSC 01G Power Rays","Mt Hood Challenge U19 Silver"
"Crossfire OR United ECNL G99","CROSSFIRE UNITED ECNL 99/00 (OR)","Nike Crossfire Challenge Super Group U19"
"Crossfire OR White G01","Crossfire Oregon 01G White","Mt Hood Challenge U19 Silver"
"Crossfire Premier A G01","CROSSFIRE PREMIER G01 A (WA)","REDAPT Cup High School Div - Bronze U19"
"Crossfire Premier A G01","CROSSFIRE PREMIERE G01 A","Snohomish United Invit U19"
"Crossfire Premier A G01","Crossfire Premier G 01 A","PacNW Winter Classic 1999-2000 Girls Showcase Premier 2"
"Crossfire Premier A G02","CROSSFIRE PREMIER G02A (WA)","REDAPT Cup High School Div - Bronze U19"
"Crossfire Premier A G99","CROSSFIRE PREMIER G99-00 A","Showcase of Champions Girls U19/18"
"Crossfire Premier A G99","Crossfire Premier G00/99 A","RCL G99 Div 2"
"Crossfire Premier A G99","CROSSFIRE PREMIER G99-00 A (WA)","Nike Crossfire Challenge Gold Group U19"
"Crossfire Premier A G99","CROSSFIRE PREMIER G99-00 A (WA)","REDAPT Cup High School Div - Gold U19"
"Crossfire Premier B G00","CROSSFIRE PREMIER G00B (WA)","Nike Crossfire Challenge Silver Group U19"
"Crossfire Premier B G99","Crossfire Premier G00/99 B","RCL G99 Div 3"
