"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Eastside FC Red G06",1190,3.32,4.49,8,"WA","Preston","RCL G06 Div 1 9Aside",""
"WPFC Black G06",950,2.18,1.3,25,"WA","Tacoma","RCL G06 Div 1 9Aside","NWCL 06"
"Spokane Sounders A Valley G06",887,1.05,1.75,22,"WA","Spokane","IPL West U11, IPL East U11, IPL East U12","NWCL 06"
"Crossfire Premier A G06",882,1.58,1.12,25,"WA","Redmond","RCL G06 Div 1 9Aside","NWCL 06"
"FC Nova Gold JV G06",778,1.33,0.64,9,"ID","Boise","Idaho D3 U11 North U11","NWCL 06"
"FWFC Blue G06",778,0.75,1.15,18,"WA","Federal Way","RCL G06 Div 1 9Aside",""
"Seattle United Copa G06",755,1.1,0.67,14,"WA","Seattle","RCL G06 Div 1 9Aside",""
"Blackhills FC Black G06",744,0.44,1.53,12,"WA","Olympia","RCL G06 Div 3 9Aside",""
"Seattle United Tango G06",720,0.68,0.84,14,"WA","Seattle","RCL G06 Div 2 9Aside",""
"ISC Gunners A G06",701,1.04,0.48,21,"WA","Issaquah","PSPL WSPL 1 U11","NWCL 06"
"GS Surf A G06",692,0.85,0.56,16,"WA","Bothel","RCL G06 Div 1 9Aside",""
"Westside Timbers Copa TS G06",681,0.69,0.64,28,"OR","Beaverton","PTT G06 Premier","NWCL 06"
"FC Portland Navy G06",673,0.81,0.51,26,"OR","Portland","PTT G06 Premier","NWCL 06"
"PacNW Maroon G06",647,0.6,0.58,21,"WA","Tukwila","RCL G06 Div 1 9Aside",""
"Seattle Celtic Green G06",637,0.67,0.48,15,"WA","Seattle","PSPL WSPL 1 U11",""
"Crossfire OR WUSC White G06",618,0.48,0.59,23,"OR","West Linn","PTT G06 Premier",""
"NEU White G06",617,0.82,0.34,21,"OR","Portland","PTT G06 Premier","NWCL 06"
"NC Alliance FC G06",609,0.69,0.39,15,"WA","","PSPL WSPL 1 U11",""
"ASE Emerald G06",599,0.66,0.38,17,"WA","Pasco","PSPL WSPL 1 U11",""
"THUSC Hydrogen G06",599,0.67,0.37,20,"OR","Tualatin Hills","PTT G06 Premier","NWCL 06"
"Crossfire OR CUSC Cosmos G06",588,0.48,0.48,25,"OR","Clackamas","PTT G06 Premier",""
"Washington Timbers Red 1 G06",584,0.67,0.34,16,"WA","Vancouver","PTT G06 Premier",""
"NSC Genesis G06",572,0.51,0.41,12,"WA","Woodinvile","NPSL Div 1 (06) U11",""
"Eastside FC White G06",557,0.55,0.34,16,"WA","Preston","RCL G06 Div 2 9Aside",""
"FC Nova Gold AH G06",547,0.55,0.32,9,"ID","Boise","Idaho D3 U11 North U11","NWCL 06"
"Idaho Rush Blue G06",545,0.74,0.23,10,"ID","Boise","Idaho D3 U11 North U11","NWCL 06"
"WA Rush G06",537,0.71,0.23,22,"WA","Everett","RCL G06 Div 2 9Aside",""
"WPFC White G06",519,0.51,0.28,17,"WA","Tacoma","RCL G06 Div 2 9Aside",""
"Crossfire Premier B G06",517,0.43,0.33,19,"WA","Redmond","RCL G06 Div 2 9Aside",""
"Crossfire Select Gold-Zein G06",510,0.32,0.42,17,"WA","Redmond","NPSL Div 1 (06) U11",""
"Valor Maroon Zernick G06",482,0.46,0.24,14,"WA","Spokane","PSPL-Inland Copa 1 U11",""
"PCU Red G06",455,0.47,0.19,21,"OR","Portland","PTT G06 Premier",""
"NEU Blue G06",446,0.35,0.25,20,"OR","Portland","PTT G06 Premier",""
"Wenatchee FC Kickers G06",436,0.36,0.22,14,"WA","Wenatchee","PSPL Classic 1 U11",""
