"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Seattle United USSDA 1 B04",1819,29.77,39.23,8,"WA","Seattle","",""
"Washington Timbers USSDA B04",1642,16.52,20.74,8,"WA","Vancouver","",""
"PCU Red 1 B04",1634,20.51,15.86,38,"OR","Portland","PTT B04 Premier Green",""
"4-H PSG B04",1624,10.56,28.53,30,"OR","","PTT B04 Premier Green",""
"Crossfire Yakima A B04",1582,18.76,12.07,22,"WA","Yakima","RCL B04 Div 1",""
"Spokane Sounders A B04",1530,14.8,10.65,39,"WA","Spokane","RCL B04 Div 1",""
"ISC Gunners A Blue B04",1516,15.79,9.08,41,"WA","Issaquah","PSPL WNPL U14",""
"3 Rivers Black B04",1513,14.9,9.38,33,"WA","Pasco","RCL B04 Div 1",""
"Spokane Pumas B04",1498,15.06,8.36,35,"WA","Spokane","PSPL WNPL U14",""
"PacNW Maroon B04",1496,16.43,7.6,43,"WA","Tukwila","RCL B04 Div 2",""
"GS Surf A B04",1495,13.84,8.96,41,"WA","Bothel","RCL B04 Div 1",""
"Idaho Rush Premier B04",1495,10.64,11.59,19,"ID","Boise","Idaho D3 Div 1 U14",""
"FPSC Fury Black B04",1489,9.68,12.28,41,"WA","Tacoma","PSPL WNPL U14",""
"NW United Black B04",1475,11,9.77,47,"WA","Burlington","RCL B04 Div 1",""
"NSC Green B04",1468,10.26,9.97,40,"WA","Woodinvile","NPSL DIVISION 1 (04) U14",""
"Kent City Red B04",1438,14.15,5.88,14,"WA","Kent","PSPL WNPL U14",""
"FC Nova Gold B04",1436,11.9,6.9,26,"ID","Boise","Idaho D3 Div 1 U14",""
"Seattle United Copa B04",1430,10.7,7.39,32,"WA","Seattle","RCL B04 Div 1",""
"Wenatchee Valley United Quincy B04",1425,13.83,5.49,24,"WA","Quincy","PSPL WSPL U14",""
"GPS Oregon B04",1420,10.76,6.81,23,"OR","","PTT B04 Premier Green",""
"ETFC Santos Black B04",1418,9.37,7.72,42,"OR","Eugene","PTT B04 Premier White",""
"Southside SC Azul B04",1410,10.01,6.88,41,"OR","Tigard","PTT B04 Premier Green",""
"Whatcom Rangers Gold B04",1396,8.93,6.97,29,"WA","Bellingham","RCL B04 Div 1",""
"Irish Black Hawks B04",1392,11.29,5.37,22,"WA","","NPSL DIVISION 1 (04) U14",""
"Academia de Futebol ADF B04",1391,10.09,5.97,35,"OR","Portland","PTT B04 Premier Green",""
"Crossfire Premier A B04",1390,8.72,6.86,43,"WA","Redmond","RCL B04 Div 1",""
"WPFC Black B04",1388,9.63,6.13,43,"WA","Tacoma","RCL B04 Div 1",""
"Crossfire Select Pombo B04",1388,6.28,9.37,41,"WA","Redmond","NPSL DIVISION 1 (04) U14",""
"Seattle United Tango B04",1384,11.77,4.85,38,"WA","Seattle","RCL B04 Div 2",""
"Blackhills FC Black B04",1376,9.61,5.64,34,"WA","Olympia","RCL B04 Div 1",""
"Eastside FC White B04",1374,8.31,6.42,44,"WA","Preston","RCL B04 Div 2",""
"FWFC Blue B04",1372,10.31,5.1,40,"WA","Federal Way","RCL B04 Div 2",""
"Washington Timbers Red 2 B04",1367,10.61,4.78,36,"WA","Vancouver","PTT B04 Premier White",""
"FC Salmon Creek White B04",1362,9.84,5.01,30,"WA","Salmon Creek","PTT B04 Premier Green",""
"Boise Nationals Timbers Blue B04",1351,10.02,4.56,26,"ID","Boise","Idaho D3 Div 1 U14",""
"4-H FC Joga B04",1335,7.89,5.17,28,"OR","","PTT B04 Premier Green",""
"FC Edmonds Force B04",1327,9.03,4.28,35,"WA","Edmonds","PSPL WNPL U14",""
"HSC Munchen B04",1324,6.16,6.16,14,"OR","Hillboro","PTT B04 Premier White",""
"Crossfire Premier B B04",1320,5.09,7.22,47,"WA","Redmond","RCL B04 Div 2",""
"TC United Navy B04",1319,7.76,4.72,32,"WA","Lacey","PSPL WSPL U14",""
"PacNW Blue B04",1314,8.57,4.11,43,"WA","Tukwila","RCL B04 Div 3",""
"Washington East SC B04",1313,8.96,3.9,26,"WA","Spokane","PSPL WSPL U14",""
"Emerald City FC Green B04",1310,9,3.8,34,"WA","Seattle","PSPL WSPL U14",""
"Seattle United W Blue B04",1299,6.82,4.65,35,"WA","Seattle","NPSL DIVISION 1 (04) U14",""
"Washington Timbers White 1 B04",1299,4.64,6.84,34,"WA","Vancouver","PTT B04 Div 1 White",""
"4-H McMinnville United B04",1298,9.73,3.25,12,"OR","","PTT B04 Premier White",""
"BIFC Blue B04",1296,6.09,5.13,32,"WA","Bainbridge Island","NPSL DIVISION 1 (04) U14",""
"Sting SC Timbers Red B04",1296,6.06,5.14,37,"ID","Coeur D'Alene","PSPL Classic 1 - East U14",""
"HSC Arsenal B04",1288,5.36,5.5,16,"OR","Hillboro","",""
"Eclipse FC Aguilitos del America B04",1283,8.78,3.24,27,"WA","","PSPL Classic 1 - West U14",""
"Canyon Optimist Inferno B04",1283,8.26,3.43,21,"ID","Caldwell","Idaho D3 Div 1 U14",""
"NPSA Titans Navy B04",1282,6.13,4.62,34,"WA","Bellevue","PSPL WNPL U14",""
"Crossfire Oregon Green I B04",1274,5.79,4.6,34,"OR","Lake Oswego","PTT B04 Premier White",""
"Highline SA Rebano B04",1273,7.06,3.76,21,"WA","","NPSL DIVISION 3 (04) U14",""
"Harbor Premier Green B04",1264,7.87,3.17,35,"WA","Gig Harbor","RCL B04 Div 2",""
"ISC Gunners A White B04",1263,7.66,3.25,31,"WA","Issaquah","PSPL Classic 1 - West U14",""
"Bend FC Timbers Red B04",1262,6.69,3.68,36,"OR","Bend","PTT B04 Premier White",""
"Hood River Dynamos B04",1258,6.86,3.48,10,"OR","Hood River","PTT B04 Div 1 Green",""
"Seattle Celtic Green B04",1249,7.9,2.84,34,"WA","Seattle","PSPL Classic 1 - West U14",""
"Wenatchee FC Black B04",1246,5.81,3.79,32,"WA","Wenatchee","PSPL Classic 1 - East U14",""
"Westside Timbers Copa B04",1242,7.13,3.01,41,"OR","Beaverton","PTT B04 Div 1 Green",""
"FWFC Alliance B04",1242,2.96,7.22,8,"WA","Federal Way","",""
"3 Rivers Green B04",1242,6.64,3.22,24,"WA","Pasco","RCL B04 Div 4",""
"MSC Gold B04",1238,5.6,3.71,8,"ID","","Idaho D3 Div 2 U14",""
"Highline Select B04",1232,4.54,4.41,14,"WA","Burien","",""
"Wenatchee Valley United ML B04",1231,4.96,4,10,"WA","Wenatchee","PSPL Classic 1 - East U14",""
"Liga Tlaxtli FC Guerreros B04",1229,5.35,3.66,29,"WA","","",""
"PacNW White B04",1221,6.16,3,18,"WA","Tukwila","RCL B04 Div 4",""
"Wenatchee Valley United La Raza B04",1219,6.82,2.68,23,"WA","Quincy","PSPL Classic 1 - East U14",""
"Storm King B04",1218,8.04,2.26,20,"WA","Port Angeles","NPSL DIVISION 1 (04) U14",""
"Eastside FC Blue B04",1216,4.92,3.63,35,"WA","Preston","RCL B04 Div 2",""
"PCU Red 2 B04",1207,5.58,3.01,36,"OR","Portland","PTT B04 Premier White",""
"Slammers Orange B04",1203,5.34,3.07,38,"WA","Auburn","RCL B04 Div 2",""
"Crossfire Select Barnes B04",1201,4.05,3.98,33,"WA","Redmond","NPSL DIVISION 1 (04) U14",""
"LSDSC United Blue B04",1201,3.69,4.35,11,"OR","","NPSL DIVISION 2 (04) U14",""
"Pumas UNAM B04",1197,6.42,2.43,35,"WA","Seattle","PSPL Classic 1 - West U14",""
"Highline SA B04",1195,4.16,3.72,23,"WA","","NPSL DIVISION 1 (04) U14",""
"Emerald City FC White B04",1194,4.15,3.7,28,"WA","Seattle","PSPL Classic 1 - West U14",""
"STU Evolution Truillo B04",1188,4.32,3.4,10,"WA","Tacoma","NPSL DIVISION 1 (04) U14",""
"STU Evolution Araujo B04",1186,4.77,3.06,11,"WA","Tacoma","SSUL B05 14 Div 2",""
"Seattle United Shoreline Blue B04",1184,6.32,2.27,31,"WA","Shoreline","NPSL DIVISION 1 (04) U14",""
"THUSC Chromium Black B04",1180,3.32,4.19,38,"OR","Beaverton","PTT B04 Premier White",""
"Capital FC Timbers Red B04",1179,6.46,2.15,28,"OR","Salem","PTT B04 Div 1 Green",""
