"date","home.team","home.score","away.team","away.score","venue","home.adv","away.adv","surface"
2017-06-08,"FC Idaho B03",0,"Upper Valley Madison United A B04",4,"Yellowstone Cup Boys U14 Gold","neutral","neutral","Grass"
2017-06-08,"BYSL Blackhawks B03",5,"Teton FC B03",0,"Yellowstone Cup Boys U14 Gold","neutral","neutral","Grass"
2017-06-08,"BYSL Fusion B03",5,"BVSC B03",0,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-09,"FC Idaho B03",1,"BYSL Blackhawks B03",7,"Yellowstone Cup Boys U14 Gold","neutral","neutral","Grass"
2017-06-09,"Upper Valley Madison United A B04",2,"Teton FC B03",4,"Yellowstone Cup Boys U14 Gold","neutral","neutral","Grass"
2017-06-09,"Teton FC B03",4,"FC Idaho B03",2,"Yellowstone Cup Boys U14 Gold","neutral","neutral","Grass"
2017-06-09,"BYSL Blackhawks B03",5,"Upper Valley Madison United A B04",0,"Yellowstone Cup Boys U14 Gold","neutral","neutral","Grass"
2017-06-09,"Upper Valley Madison United B B03",2,"MSC Vikings B03",5,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-09,"Snake River Strikers B03",0,"MSC Vikings B03",6,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-09,"Upper Valley Madison United B B03",3,"Snake River Strikers B03",0,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-09,"Idaho Arsenal United B03",3,"BYSL Fusion B03",5,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-09,"BVSC B03",2,"Idaho Arsenal United B03",7,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-10,"BYSL Blackhawks B03",4,"Teton FC B03",0,"Yellowstone Cup Boys U14 Gold","neutral","neutral","Grass"
2017-06-10,"MSC Vikings B03",3,"Idaho Arsenal United B03",2,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-10,"BYSL Fusion B03",6,"Upper Valley Madison United B B03",1,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-10,"Snake River Strikers B03",2,"BVSC B03",1,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-10,"MSC Vikings B03",3,"BYSL Fusion B03",0,"Yellowstone Cup Boys U14 Silver","neutral","neutral","Grass"
2017-06-16,"EPIC B04",3,"NPSA Titans Navy B04",4,"Skagit Firecracker Div. 1 U14","neutral","neutral","Grass"
2017-06-16,"NW United Black B04",3,"Eclipse FC Aguilitos del America B04",0,"Skagit Firecracker Div. 1 U14","neutral","neutral","Grass"
2017-06-16,"NC Alliance Navy B04",2,"NW United White B04",6,"Skagit Firecracker Div. 3 U14","neutral","neutral","Grass"
2017-06-16,"Highline SA Rebano B04",2,"ISC Gunners B B04",1,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2017-06-16,"Seattle Celtic Green B04",8,"LWPFC White Sharks B04",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2017-06-16,"Hawaii Rush B04",7,"Dragons FC B04",0,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2017-06-17,"NPSA Titans Navy B04",1,"NW United Black B04",1,"Skagit Firecracker Div. 1 U14","neutral","neutral","Grass"
2017-06-17,"EPIC B04",0,"NW United Black B04",5,"Skagit Firecracker Div. 1 U14","neutral","neutral","Grass"
2017-06-17,"NPSA Titans Navy B04",1,"Eclipse FC Aguilitos del America B04",4,"Skagit Firecracker Div. 1 U14","neutral","neutral","Grass"
2017-06-17,"Eclipse FC Aguilitos del America B04",2,"Emerald City FC Green B04",0,"Skagit Firecracker Div. 1 U14","neutral","neutral","Grass"
2017-06-17,"Emerald City FC Green B04",3,"EPIC B04",3,"Skagit Firecracker Div. 1 U14","neutral","neutral","Grass"
2017-06-17,"Monroe Cobras FC B04",2,"Eastside FC White B04",7,"Skagit Firecracker Div. 2 U14","neutral","neutral","Grass"
2017-06-17,"Seattle United Shoreline Blue B04",1,"Snohomish United Red B04",1,"Skagit Firecracker Div. 2 U14","neutral","neutral","Grass"
2017-06-17,"NW United Red B04",5,"Whatcom Rangers White B04",0,"Skagit Firecracker Div. 2 U14","neutral","neutral","Grass"
2017-06-17,"NW United Red B04",4,"Monroe Cobras FC B04",2,"Skagit Firecracker Div. 2 U14","neutral","neutral","Grass"
2017-06-17,"Eastside FC White B04",3,"Snohomish United Red B04",0,"Skagit Firecracker Div. 2 U14","neutral","neutral","Grass"
2017-06-17,"WA Rush Nero B04",0,"NC Alliance Navy B04",5,"Skagit Firecracker Div. 3 U14","neutral","neutral","Grass"
2017-06-17,"NW United White B04",5,"Seattle United S Blue B04",2,"Skagit Firecracker Div. 3 U14","neutral","neutral","Grass"
2017-06-17,"NC Alliance Navy B04",2,"Seattle United S Blue B04",4,"Skagit Firecracker Div. 3 U14","neutral","neutral","Grass"
2017-06-17,"NW United White B04",9,"WA Rush Nero B04",0,"Skagit Firecracker Div. 3 U14","neutral","neutral","Grass"
2017-06-17,"LWPFC White Sharks B04",0,"ISC Gunners B B04",4,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2017-06-17,"Highline SA Rebano B04",1,"Seattle Celtic Green B04",5,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2017-06-17,"Fraser Valley Selects B04",2,"Hawaii Rush B04",3,"Starfire Spring Classic BU14","neutral","neutral","Grass"
2017-06-17,"Dragons FC B04",0,"ISC Gunners C B04",1,"Starfire Spring Classic BU14","neutral","neutral","Turf"
2017-06-17,"LWPFC White Sharks B04",0,"Highline SA Rebano B04",5,"Starfire Spring Classic BU14","neutral","neutral","Unk"
2017-06-17,"ISC Gunners C B04",0,"Hawaii Rush B04",8,"Starfire Spring Classic BU14","neutral","neutral","Turf"
