"name","alt.name","venue"
"","AC Brea - B01 RED","FWRL CAS B01"
"","Arsenal FC South B01 Academy II","FWRL CAS B01"
"","AYSC Arsenal 01B (AK) (SC)","Far West Regionals U16"
"","CAPITAL VALLEY UNITED SC BLACKHAWKS 01 RED","FWRL CAN Premier U17"
"","CDA FC Slammers-Orange B01 Flores","FWRL CAS B01"
"","CV SJ Earthquakes PDA 01 (CA-N) (FWCN)","Far West Regionals U16"
"","ECFC GALAXY 01B","FWRL CAN CRL U17"
"","F.C. Boyle Heights (CA-S)","Region IV Pres Cup U16"
"","FC BOULDER 01 BOYS ELITE","FWRL Desert 2001 U17"
"","FC Boulder 01 Elite (CO) (SC)","Far West Regionals U16"
"","FC Golden State - 2001 (CA-S) (SC)","Far West Regionals U16"
"","FCLA - B01 Black","FWRL CAS B01"
"","FOLSOM LAKE EARTHQUAKES ELITE '01B RED","FWRL CAN Premier U17"
"","FR Real Madrid (CA-N)","Region IV Pres Cup U16"
"","FUEGO FC LIVINGSTON FUEGO 01","FWRL CAN Premier U17"
"","La Roca 2001 Boys (UT) (SWC)","Far West Regionals U16"
"","LA ROCA FC LA ROCA SOUTH AB 01","FWRL Desert 2001 U17"
"","LA UNITED FUTBOL ACADEMY","FWRL CAS B01"
"","Liverpool FC 01B SG (UT)","Region IV Pres Cup U16"
"","Maui United Soccer Club 2001 Boys (HI) (SC)","Far West Regionals U16"
"","MSC United 01 (AZ)","Region IV Pres Cup U16"
"","NWSC Deception FC B01","NPSL DIVISION 3 (01) U17"
"","PAJARO VALLEY YSC PV UNITED 01 RED","FWRL CAN Premier U17"
"","Players academy blue 2001 (NV)","Region IV Pres Cup U16"
"","RAVENSWOOD YOUTH RYSC 01 BARCELONA","FWRL CAN CRL U17"
"","Rocky Mountain SA Cougars Black (CO)","Region IV Pres Cup U16"
"","Santos Laguna White (CA-S)","Region IV Pres Cup U16"
"","scls CV Aztecas 01 (UT)","Region IV Pres Cup U16"
"","SF MISSION GREEN FC MISSION GREEN 2001","FWRL CAN CRL U17"
