"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"WPFC Black B01",2184,155.9,93.8,42,"WA","Tacoma","RCL B01 Div 1",""
"Seattle United Copa B01",2103,143.68,58.35,31,"WA","Seattle","RCL B01 Div 1",""
"WA Rush B01",2101,125.85,65.74,40,"WA","Everett","RCL B01 Div 1",""
"Idaho Rush Premier B01",2090,81.02,94.22,19,"ID","Boise","",""
"Kitsap Alliance FC Red B01",2089,74.06,102.52,41,"WA","Silverdale","RCL B01 Div 3",""
"PacNW Maroon B01",2085,143.7,51.46,32,"WA","Tukwila","RCL B01 Div 1",""
"Spokane Sounders A B01",2072,122.34,55.32,35,"WA","Spokane","RCL B01 Div 1",""
"Eastside FC Red B01",2067,102.32,63.58,34,"WA","Preston","RCL B01 Div 1",""
"Eastside FC White B01",2061,83.86,74.51,39,"WA","Preston","RCL B01 Div 2",""
"Crossfire Select Greenwalt B01",2052,93.44,62.97,46,"WA","Redmond","RCL B01 Div 4",""
"Westside Timbers Copa Red B01",2052,76.81,76.51,9,"OR","Beaverton","",""
"Crossfire Premier A B01",2052,95.42,61.37,39,"WA","Redmond","RCL B01 Div 1",""
"Washington Timbers Red 1 B01",2046,108.39,52.02,26,"WA","Vancouver","RCL B01 Div 2",""
"Santos FC Inter B01",2045,67.39,83.14,12,"OR","Forest Grove","",""
"Wenatchee Valley United Aguilitas B01",2044,105.62,52.44,24,"WA","Wenatchee","PSPL WNPL U17","WA Cup Gold U17"
"Westside Timbers Copa B01",2043,98.23,56.11,34,"OR","Beaverton","",""
"Snohomish United Black B01",2027,96.72,51.21,28,"WA","Snohomish","RCL B01 Div 2",""
"PacNW Blue B01",2006,96.35,44.32,32,"WA","Tukwila","RCL B01 Div 2",""
"Whatcom Rangers Gold B01",1998,63.12,64.06,33,"WA","Bellingham","RCL B01 Div 2",""
"Eastside Timbers Red B01",1996,90.8,43.99,33,"OR","Gresham","",""
"WPFC White B01",1994,82.32,47.72,31,"WA","Tacoma","RCL B01 Div 2",""
"3 Rivers Black B01",1980,79.44,44.85,19,"WA","Pasco","RCL B01 Div 3, RCL B01 7V2",""
"GS Surf A B01",1964,72.52,44.15,34,"WA","Bothel","RCL B01 Div 1",""
"NPSA Titans Navy B01",1947,63.51,44.54,36,"WA","Bellevue","PSPL WNPL U17","WA Cup Gold U17"
"ISC Gunners A B01",1943,47.56,57.9,44,"WA","Issaquah","PSPL WNPL U17","WA Cup Gold U17"
"Whatcom Rangers Blue B01",1940,70.8,38.29,30,"WA","Bellingham","RCL B01 Div 3",""
"Washington Timbers Green 1 B01",1933,58.4,43.96,23,"WA","Vancouver","RCL B01 Div 4",""
"ETFC Valencia Black B01",1928,75.34,33.05,19,"OR","Eugene","",""
"BSC Portland Black B01",1928,72.45,34.35,25,"OR","Portland","",""
"Storm King B01",1915,58.82,38.7,27,"WA","Port Angeles","NPSL DIVISION 1 (01) U17",""
