"name","alt.name","venue"
"ASE Emerald G00","ACADEMY OF SOCCER EXCELLENCE ASE G00 EMERALD","Showcase of Champions Girls U18 / 17"
"ASE Emerald G00","ACADEMY OF SOCCER EXCELLENCE ASE G00 EMERALD (WA)","Nike Crossfire Challenge Super Group U18"
"Breakers Black Croft G00","BREAKERS FC '00 (WA)","Nike Crossfire Challenge Gold Group U18"
"Breakers Black Croft G00","BREAKERS FC '00 (WA)","Timbers Winter Showcase 2000 Showcase U18"
"Calgary West Chelsea G00","CALGARY WEST CHELSEA (CND)","Nike Crossfire Challenge Gold Group U18"
"CGA Academy Elite G00","CGA ACADEMY SC ELITE","FC Nova Fall Showcase U17/18 Girls"
"Cheney Storm FC G00","CHENEY STORM SCOTT G00 (WA)","Nike Crossfire Challenge Super Group U18"
"Crossfire Alaska ADP G00","ALASKA YOUTH SOCCER ADP 00G (AK)","Timbers Winter Showcase 2000 Showcase U18"
"Crossfire Alaska ADP G00","ALASKA YOUTH SOCCER ADP 00G (AK)","Timbers Winter Showcase 2000 FWRL U18"
"Crossfire OR Blue I G00","CROSSFIRE OREGON SKIPPER (OR)","Timbers Winter Showcase 2000 Showcase U18"
"Crossfire Premier ECNL -Unk G00","CROSSFIRE ECNL C","Showcase of Champions Girls U18 / 17"
"Crossfire Premier ECNL G01","CROSSFIRE PREMIER 01 ECNL","Showcase of Champions Girls U18 / 17"
"Crossfire Select Granston G01","Crossfire Select G01 Granston","Crossfire Select U18 Gold"
"Crossfire Select Granston G01","Crossfire Select G01 Granston","NPSL Division 1 (00) U18"
"Crossfire Select Granston G01","Crossfire Select Granston 01","Starfire Spring Classic GU17-18"
"Crossfire Select Habash G00","Crossfire Select G00 Habash","Crossfire Select U18 Gold"
"Crossfire Select Habash G00","CROSSFIRE SELECT G00 HABASH (WA)","Nike Crossfire Challenge Gold Group U18"
"Crossfire Select Toon G00","Crossfire Select G00 Toon","Crossfire Select U18 Gold"
"Crossfire Select Wilkinson G01","Crossfire Select 01 Wilkinson","NPSL Division 1 (00) U18"
"Crossfire Select Wilkinson G01","Crossfire Select G01 Wilkinson","Crossfire Select U18 Gold"
"CSC Velocity Green G00","CSC Velocity G01 Green","Starfire Spring Classic GU17-18"
"Downtown Las Vegas SC Academy G00","DOWNTOWN LVSC 00 ACADEMY (NV)","Timbers Winter Showcase 2000 Showcase U18"
"Eastside Timbers Red G00","EASTSIDE TIMBERS U18 G 00/01 RED (OR)","Timbers Winter Showcase 2000 Showcase U18"
