"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"PacNW Maroon G04",1925,39.69,61.51,16,"WA","Tukwila","RCL G04 Div 1",""
"WPFC ECNL G04",1750,27.23,26.51,19,"WA","Tacoma","RCL G04 Div 1",""
"Crossfire OR United THUSC G04",1715,34.95,16.23,12,"OR","","PTT G04 Premier Red",""
"Eastside Timbers Red G04",1714,28.25,19.96,15,"OR","Gresham","PTT G04 Premier Red",""
"GS Surf A G04",1705,27.45,19.31,29,"WA","Bothel","RCL G04 Div 1",""
"Eastside FC Reign 2 G04",1666,25.91,15.57,14,"WA","Preston","RCL G04 Div 1",""
"Washington Timbers Red 1 G04",1653,21.18,17.41,21,"WA","Vancouver","PTT G04 Premier Red",""
"WA Rush G04",1635,13.12,24.89,28,"WA","Everett","RCL G04 Div 2",""
"Seattle United Copa G04",1619,16.06,18.13,15,"WA","Seattle","RCL G04 Div 1",""
"Idaho Rush Premier G04",1614,24.64,11.45,19,"ID","Boise","Idaho D3 Div 1 U14",""
"FPSC Fury Black G04",1613,21.37,13.08,23,"WA","Tacoma","PSPL WNPL U14",""
"Spokane Sounders A G04",1599,17.74,14.32,23,"WA","Spokane","RCL G04 Div 1",""
"TC United Navy G04",1587,13.68,17.16,10,"WA","Lacey","PSPL WNPL U14",""
"Crossfire Premier B G04",1572,9.93,21.19,27,"WA","Redmond","RCL G04 Div 3",""
"FC Nova ECNL G04",1565,19.98,10.05,10,"ID","Boise","Idaho D3 Div 1 U14",""
"Seattle United Tango G04",1563,12.5,15.82,27,"WA","Seattle","RCL G04 Div 2",""
"Crossfire Premier ECNL G04",1553,13.06,14.11,11,"WA","Redmond","",""
"ASE Emerald G04",1537,11.69,14.19,25,"WA","Pasco","PSPL WNPL U14",""
"Harbor Premier Green G04",1535,18.31,8.88,17,"WA","Gig Harbor","RCL G04 Div 1",""
"ETFC Akers Black G04",1528,13.09,11.88,24,"OR","Eugene","PTT G04 Premier Red",""
"PacNW Blue G04",1509,10.76,12.65,19,"WA","Tukwila","RCL G04 Div 2",""
