"name","alt.name","venue"
"","04 Celtic FC Premier Green (UT) (SC)","Far West Regionals U13"
"","Arsenal FC (CA-S) (FWCS)","Far West Regionals U13"
"","Blitzz FC Gold (MT)","Region IV Pres Cup U13"
"","Blue Knights 04 UL (UT)","Region IV Pres Cup U13"
"","CCV 04 Girls (AZ) (SC)","Far West Regionals U13"
"","CSC Avalanche 04G (AK)","Region IV Pres Cup U13"
"","Ethos FC Saints 04G Blue (CA-N) (SC)","Far West Regionals U13"
"","FME Hawks - Long","SSUL G04 Division 3"
"","FWFC G04 Titans","SSUL G04 Division 3"
"","Harbor G04 Lightning","SSUL G04 Division 3"
"","Heat FC 04 KR (NV) (SC)","Far West Regionals U13"
"","HELLS CANYON FC - SKINNER","Pend Orielle Cup Girls U14 Gold"
"","HSC Shooting Stars 04 (Harris)","SSUL G04 Division 3"
"","LSDSC Ambush","SSUL G04 Division 3"
"","NELSON YOUTH SOCCER NELSON SELECTS","Pend Orielle Cup Girls U14 Silver"
"","Nortac Lightning Boltz","SSUL G04 Division 3"
"","Nortac Supernovas","SSUL G04 Division 3"
"","NUU STORM","Yellowstone Cup Girls U14 Gold"
"","RED DRAGONS SOCCER PINK DRAGONS","Yellowstone Cup Girls U13/14 Silver"
"","Rush 04G (HI) (SC)","Far West Regionals U13"
"","San Diego Surf (CA-S) (FWCS)","Far West Regionals U13"
"","UP Reality Sports","SSUL G04 Division 3"
"","USA Metro Premier 04G BK (UT) (SWC)","Far West Regionals U13"
"","Visalia Galaxy Elite (CA-N)","Region IV Pres Cup U13"
"","WS Blue Thunder 04-Defant","SSUL G04 Division 3"
"Alaska Eclipse G05","ALASKA ECLIPSE 04 GIRLS","Clash At the Border Gold/Silver/Bronze"
"Alaska Eclipse G05","ALASKA GU14","Snohomish United Invit Gold"
"ASE Emerald G04","ASE G04 Emerald","Beaverton Cup U14 Gold"
"ASE Emerald G04","ASE G04 EMERALD","NW Champions Cup GIRLS 04"
"ASE Emerald G04","ASE G04 Emerald","PSPL WNPL U14"
"ASE Emerald G04","ASE G04 EMERALD (WA)","Nike Crossfire Challenge Silver Group U14"
"ASE Navy G04","ASE G04Navy","PSPL Copa 2 - East U14"
"ASE Royal G04","ACADEMY OF SOCCER EXCELLENCE G04-SANTOS","Les Schwab NW Cup Girls U14"
"ASE Royal G04","ASE G04 Royal-Santos","PSPL Classic 1 - East U14"
"ASE Royal G04","ASE G04 Santos","Sounders FC Cup GU14 Silver"
"Beach FC LB Nunes G04","Beach FC LB 04 Nunes (CA-S)","Region IV Pres Cup U13"
"Bellevue United Robinson G04","Bellevue United FC G04 Robinson","Mt Hood Challenge U14 Silver"
"Bellevue United Robinson G04","Bellevue United FC Robinson G04 - GU13","RCL G04 Div 4"
"Bend FC Timbers Red G04","Bend FC Timbers 04G Red","PTT G04 Premier White"
"Bend FC Timbers Red G04","BEND FC TIMBERS 04GRED (USA)","Bend Premier Cup Lindsey Horan (Gold) Division U14"
"Bend FC Timbers Red G04","Bend FC Timbers G04 Red","Mt Hood Challenge U14 Gold"
"BIFC Blue G04","Bainbridge Island FC G04 Blue","NPSL Division 3 (04) U14"
"Blackhills FC Black G04","91 Blackhills FC G04 Black","Baker Blast U14"
"Blackhills FC Black G04","BLACKHILLS FC G 04 BLACK A (WA)","REDAPT Cup Silver U14"
"Blackhills FC Black G04","Blackhills FC G04 Black A","RCL G04 Div 4"
"Boise Nationals Timbers Blue G05","BOISE NATIONALS TIMBERS BNT 2004 GIRLS BLUE","Idaho D3 Division 2 U14"
"Boise Nationals Timbers Blue G05","BOISE NATIONALS TIMBERS BNT 2004 GIRLS BLUE (ID)","GEM State Challenge U14 Girls Silver U14"
"Breakers Black Lewis G04","IEYSA G04 Breakers FC Lewis","PSPL Classic 1 - East U14"
"Breakers Black Lewis G04","SPOKANE BREAKERS FC - 4 BLACK","Pend Orielle Cup Girls U14 Silver"
"Breakers Black Swoboda G04","G04 Breakers FC","US Club Regionals G04"
"Breakers Black Swoboda G04","IEYSA G04 Breakers FC Swoboda-Peroff","PSPL WNPL U14"
"Breakers Black Swoboda G04","SPOKANE BREAKERS FC - G04","Pend Orielle Cup Girls U14 Gold"
"Breakers Black Swoboda G04","SPOKANE BREAKERS FC G04 BLACK","Les Schwab NW Cup Girls U14"
