"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"Crossfire Premier A B05",1254,7.3,3.18,37,"WA","Redmond","RCL B05 Div 1",""
"Seattle United Copa B05",1247,5.72,3.86,29,"WA","Seattle","RCL B05 Div 1",""
"LASC Cuervos B05",1245,6.26,3.5,42,"OR","NE Portland","PTT B05 Premier",""
"3 Rivers Black B05",1241,8.22,2.58,32,"WA","Pasco","RCL B05 Div 1",""
"Bend FC Timbers Red B05",1238,5.93,3.51,34,"OR","Bend","PTT B05 Premier",""
"Spokane Sounders A B05",1233,9.67,2.08,17,"WA","Spokane","RCL B05 Div 1",""
"Academia de Futebol ADF B05",1227,7.38,2.61,36,"OR","Portland","PTT B05 Premier",""
"Wenatchee FC Black B05",1220,5,3.67,25,"WA","Wenatchee","PSPL WNPL U13",""
"PacNW Maroon B05",1213,6.56,2.66,40,"WA","Tukwila","RCL B05 Div 1",""
"GPS Oregon B05",1208,7.08,2.38,12,"OR","","PTT B05 Premier",""
"4-H FC Joga B05",1197,5.26,2.97,30,"OR","","PTT B05 Premier",""
"Eclipse FC Eclipse B05",1187,6.8,2.14,38,"WA","Beacon Hill","PSPL WNPL U13",""
"NSC Sharks Green B05",1178,3.05,4.52,26,"WA","Woodinvile","NPSL DIVISION 1 (05) U13",""
"ETFC Marseille Black B05",1177,4.94,2.76,33,"OR","Eugene","PTT B05 Premier",""
"RVSC Timbers Red B05",1168,6.87,1.87,27,"OR","Medford","PTT B05 Premier",""
"Boise Nationals Timbers Blue B05",1162,4.81,2.56,22,"ID","Boise","Idaho D3 Div 1 U13",""
"WPFC Black B05",1159,4.91,2.45,37,"WA","Tacoma","RCL B05 Div 1",""
"Washington East SC A B05",1156,4.01,2.93,30,"WA","Spokane","PSPL WNPL U13",""
"Seattle Celtic Green B05",1141,4.36,2.44,36,"WA","Seattle","PSPL WSPL 1 U13",""
"HSC Devils B05",1121,5.83,1.59,14,"OR","Hillsboro","PTT B05 Premier",""
"FC Salmon Creek White B05",1120,5.25,1.75,24,"WA","Salmon Creek","PTT B05 Premier",""
"Kitsap Alliance FC Red B05",1111,3.83,2.25,30,"WA","Silverdale","RCL B05 Div 2",""
"Tynecastle FC B05",1110,4.32,1.98,16,"WA","Everett","PSPL WNPL U13",""
"Liga Tlaxtli FC Guerreros B05",1108,3.54,2.39,10,"WA","","PSPL Classic 3 - West U13",""
"FC Nova Gold TB B05",1104,4.92,1.67,17,"ID","Boise","",""
