"team .colname","total .colname","attack .colname","defense .colname","n .colname","region .colname","city .colname","fall.league .colname","other .colname"
"FC Portland Navy B00",2330,219.87,183.65,35,"OR","Portland","",""
"WPFC Black B00",2290,215.21,142,47,"WA","Tacoma","RCL B00 Div 1",""
"Seattle United Copa B00",2248,224.53,101.67,34,"WA","Seattle","RCL B00 Div 1",""
"GS Surf A B00",2179,134.72,105,29,"WA","Bothel","RCL B00 Div 1",""
"Eastside FC Red B00",2161,163.38,76.42,31,"WA","Preston","RCL B00 Div 1",""
"Crossfire Premier B B00",2158,145.97,83.63,30,"WA","Redmond","RCL B00 Div 1",""
"Boise Nationals Timbers Blue B00",2146,156.53,71.98,21,"ID","Boise","",""
"Crossfire Premier A B00",2142,120.63,91.07,45,"WA","Redmond","RCL B00 Div 1",""
"Central WA SA Grey B00",2133,153.86,66.77,19,"WA","Yakima","PSPL WNPL U18","WA Cup Gold U18"
"Seattle United Tango B00",2099,118.9,68.25,25,"WA","Seattle","RCL B00 Div 2",""
"Kitsap Alliance FC Red B00",2089,84.75,89.68,38,"WA","Silverdale","RCL B00 Div 2",""
"Central WA SA Navy B00",2078,127.89,55.08,14,"WA","Yakima","",""
"FPSC Fury Black B00",2059,94.38,65.46,35,"WA","Tacoma","PSPL WNPL U18","WA Cup Gold U18"
"PacNW Maroon B00",2051,112.25,52.08,30,"WA","Tukwila","RCL B00 Div 1",""
"Crossfire Select Cantrell B00",2040,68.75,78.63,31,"WA","Redmond","NPSL DIVISION 1 (00) U18",""
"Crossfire Oregon Green I B00",2028,91,54.84,17,"OR","Lake Oswego","",""
"Westside Timbers Copa B00",2028,84.72,58.74,24,"OR","Beaverton","",""
"Academia de Futebol ADF B00",2024,99.49,48.47,33,"OR","Portland","",""
"WPFC White B00",2021,87.33,54.37,43,"WA","Tacoma","RCL B00 Div 2",""
"ETFC Rovers Black B00",2014,73.26,61.77,29,"OR","Eugene","",""
"Crossfire Select Button B00",1995,71.78,55.3,37,"WA","Redmond","RCL B00 Div 3",""
"FWFC Blue B00",1981,55.25,64.8,32,"WA","Federal Way","RCL B00 Div 3",""
"FC Salmon Creek Juventus B00",1977,64.11,54.33,36,"WA","Salmon Creek","PSPL WNPL U18","WA Cup Gold U18"
"NSC Impact B00",1971,61.33,54.67,28,"WA","Woodinvile","NPSL DIVISION 1 (00) U18",""
"CGA Academy SC Elite B00",1967,92.38,35.15,11,"ID","","",""
"FC Portland White B00",1957,41.76,73.03,36,"OR","Portland","",""
"PCU Red B00",1953,55.87,52.9,52,"OR","Portland","",""
"Eastside FC White B00",1949,52.56,54.66,26,"WA","Preston","RCL B00 Div 2",""
"Fuerza FC Academy B00",1945,75.52,37.16,30,"WA","Marysville","PSPL WSPL 1 U18","WA Cup Gold U18"
"ASE Emerald B00",1935,73.42,35.62,20,"WA","Pasco","PSPL WNPL U18",""
"Seattle United Samba B00",1933,69.61,37.08,33,"WA","Seattle","RCL B00 Div 3",""
"Academia Leon B00",1931,67.72,37.48,26,"OR","Beaverton","PTT B00 BHS",""
"FC Edmonds Fury B00",1931,67.67,37.45,22,"WA","Edmonds","PSPL Classic West U18","WA Cup Silver U18"
"Seattle United S Black B00",1928,65.72,37.95,32,"WA","Seattle","NPSL DIVISION 1 (00) U18",""
"PacNW Blue B00",1925,55.39,43.9,34,"WA","Tukwila","RCL B00 Div 2",""
"Highline Premier Heat Blue B00",1913,73.17,30.62,25,"WA","Burien","PSPL WNPL U18","WA Cup Gold U18"
"NW United Black B00",1908,56.38,38.41,26,"WA","Burlington","RCL B00 Div 3",""
"Kent United Green B00",1908,47.48,45.51,36,"WA","Kent","RCL B00 Div 2",""
"ISC Gunners A B00",1907,48.84,44.05,16,"WA","Issaquah","","WA Cup Gold U18"
"WA Rush B00",1902,56.44,36.82,31,"WA","Everett","RCL B00 Div 1",""
"PCSC Cosmos B00",1895,60.55,32.67,14,"WA","Tacoma","PSPL WNPL U18",""
"Crossfire Yakima A B00",1889,88.97,21.34,23,"WA","Yakima","RCL B00 Div 2",""
"BSC Portland Black B00",1882,51.27,35.23,23,"OR","Portland","",""
"Crossfire Premier C B00",1881,57.53,31.26,30,"WA","Redmond","RCL B00 Div 3",""
"FC Salmon Creek Blue B00",1870,57.27,29.08,17,"WA","Salmon Creek","PTT B00 BHS",""
"Boise Nationals Timbers Red B00",1870,67.91,24.46,22,"ID","Boise","",""
"Washington East SC B00",1868,45.7,35.89,27,"WA","Spokane","PSPL WSPL 1 U18",""
"Emerald City FC Green B00",1862,50.69,31.06,19,"WA","Seattle","PSPL WSPL 1 U18",""
"Seattle United W Blue B00",1849,56.19,25.65,25,"WA","Seattle","NPSL DIVISION 1 (00) U18",""
"Thelo Atlas B00",1845,39.9,34.98,22,"OR","Milwaukie","",""
"Pumas UNAM B00",1830,41.31,30.41,14,"WA","Seattle","PSPL WSPL 2 U18",""
"RSA Elite B00",1826,34.1,36.06,28,"WA","Puyallup","PSPL WSPL 2 U18","WA Cup Gold U18"
"WPFC Navy B00",1820,41.05,28.75,36,"WA","Tacoma","RCL B00 Div 3",""
"Gala FC B00",1813,45.89,24.38,20,"WA","Marysville","PSPL WSPL 2 U18",""
"Westside Timbers Samba B00",1810,32.05,34.35,23,"OR","Beaverton","",""
"Eastside FC Blue B00",1806,42.18,25.25,22,"WA","Preston","RCL B00 Div 3",""
"Capital FC Timbers Red B00",1804,45.44,23.11,18,"OR","Salem","",""
"Harbor Premier Green B00",1801,42.98,23.94,32,"WA","Gig Harbor","RCL B00 Div 3",""
"Pacific FC Blue-United B00",1785,30.93,29.79,30,"WA","Battle Ground","PSPL WSPL 1 U18","WA Cup Gold U18"
"Slammers Orange B00",1768,40.25,20.34,23,"WA","Auburn","RCL B00 Div 2",""
"Impact FC Black B00",1758,33.15,23.02,25,"WA","Renton","PSPL Classic West U18","WA Cup Silver U18"
"Eclipse FC Eclipse B00",1753,39.57,18.7,13,"WA","Beacon Hill","PSPL WSPL 2 U18",""
"Southlake Select Eagles B00",1748,30.29,23.56,19,"WA","Newcastle","NPSL DIVISION 1 (00) U18",""
"Cascade FC Green B00",1745,39.24,17.82,22,"WA","North Bend","PSPL WSPL 2 U18","WA Cup Silver U18"
"PacNW White B00",1745,35.62,19.57,35,"WA","Tukwila","RCL B00 Div 3",""
"Fuerza FC B00",1744,30.08,23.09,14,"WA","Marysville","PSPL Classic West U18",""
"Breakers Derby B00",1733,27.61,23.32,34,"WA","Spokane","PSPL Classic - East U19","WA Cup Silver U18"
"PSA Force Black B00",1732,34.46,18.56,20,"WA","Marysville","NPSL DIVISION 2 (00/99) U19",""
"Wenatchee Valley United B00",1731,47.98,13.24,10,"WA","Wenatchee","PSPL WSPL 1 U18",""
"Salem Chelsea B00",1726,33.84,18.15,20,"OR","Salem","",""
"Nortac Sparta Red B00",1722,36.72,16.23,19,"WA","Tacoma","PSPL Classic West U18","WA Cup Silver U18"
"Wenatchee FC B00",1720,27.7,21.2,14,"WA","Wenatchee","PSPL WSPL 1 U18",""
"South Kitsap United B00",1690,26.33,18.09,13,"WA","Port Orchard","PSPL Classic West U18","WA Cup Silver U18"
"TC United Navy B00",1678,23.13,18.96,16,"WA","Lacey","PSPL Classic West U18","WA Cup Silver U18"
"Mercer Island FC Gunners B00",1671,23.02,18.22,20,"WA","Mercer Island","NPSL DIVISION 2 (00/99) U19",""
"Spokane Scotties Manthei B00",1650,39.56,9.14,10,"WA","Spokane","PSPL Copa - East U18-19",""
"Newport FC B00",1647,21.61,16.37,17,"WA","Bellevue","NPSL DIVISION 2 (00/99) U19",""
"Bellevue United Select B00",1641,24.25,13.99,17,"WA","Bellevue","NPSL DIVISION 2 (00/99) U19",""
"IFC Red B00",1585,22.67,10.19,20,"WA","Issaquah","NPSL DIVISION 2 (00/99) U19",""
"South Mason Shelton B00",1581,17.51,12.86,12,"WA","","NPSL DIVISION 1 (00) U18",""
"Snohomish United Red B00",1579,15.69,14.06,28,"WA","Snohomish","NPSL DIVISION 1 (00) U18",""
"SGESC Fusion B00",1560,24.74,7.84,20,"WA","Graham","PSPL Classic West U18","WA Cup Silver U18"
"Pacific FC Orange-Galaxy B00",1552,19.2,9.57,19,"WA","Battle Ground","PSPL Classic West U18",""
"MRFC Blue B00",1548,25.13,7.11,19,"WA","Sumner","PSPL WSPL 2 U18","WA Cup Silver U18"
"Kitsap Alliance FC White B00",1548,12.67,14.06,18,"WA","Silverdale","RCL B00 Div 3",""
"FSC Warriors B00",1529,18.05,8.68,12,"WA","Fircrest","SSUL B01 18 Div 3",""
"FWFC Sharks B00",1494,17,7.23,12,"WA","Federal Way","SSUL B01 18 Div 3",""
"Breakers Red B00",1466,19.22,5.25,13,"WA","Spokane","PSPL Copa - East U18-19",""
"Spokane Scotties Rau B00",1421,13.78,5.38,10,"WA","Spokane","PSPL Copa - East U18-19",""
